,price,funding,cost,traded,hours_held,long_pnl,short_pnl,stops
0GUSDT,66.5971196718192,-58.08216966465071,0.7233495510475664,1791.792159456057,6797.0,-10.346883360384714,76.94400303220384,6.0
1000000BOBUSDT,-53.21734803878989,-12.435910207939402,0.5633938041157625,1039.318803369265,1537.0,-12.154844415092265,-41.062503623697665,5.0
1000000MOGUSDT,70.91301040052977,1.079084846017775,0.3659512964986018,949.9980788639907,10107.0,35.6023018744405,35.310708526089236,3.0
1000BONKUSDT,-166.1110377384377,10.268624055170958,3.230043038895321,8017.618170757732,20710.0,32.54861281804219,-198.65965055648124,16.0
1000BTTCUSDT,1.5522258247251273,-0.16681248980332775,0.21119510132447236,508.0245755106141,777.0,-0.18259172155338038,1.7348175462785078,0.0
1000CATUSDT,-52.39648823972438,2.515131763475908,0.669364006664419,1570.9602650572328,7302.0,-6.751790222398164,-45.64469801732646,5.0
1000CHEEMSUSDT,-43.51957489243681,-0.22653210724321968,0.5320701511587386,1258.8685741512024,8578.0,10.536700491360586,-54.056275383797384,6.0
1000FLOKIUSDT,106.43874786490028,2.844571695362271,2.7625361498408982,7209.994873124315,26849.0,45.09170549207468,61.34704237282599,8.0
1000LUNCUSDT,148.27402667042796,-5.690660417214875,3.208634383101343,8344.326786148122,24465.0,76.51026040706247,71.7637662633638,7.0
1000PEPEUSDT,-99.0785788358519,1.338314608885055,4.271172143858114,11743.713348273763,25989.0,-5.958191060459798,-93.12038777539004,15.0
1000RATSUSDT,-114.36623759165914,13.242504792412028,1.618951646645274,3673.931544116317,11208.0,-52.49737862207127,-61.86885896958812,18.0
1000SATSUSDT,-36.9828249067094,7.544322546998851,1.4218314275726445,3841.1872716731123,19922.0,-12.660158424691192,-24.322666482019,10.0
1000SHIBUSDT,52.21069241693746,3.8278169801426962,5.647694233551928,15662.088828588256,37760.0,17.19129830843079,35.01939410850592,11.0
1000WHYUSDT,13.546143677559376,0.6043766769400754,0.06709052453215823,167.9305711782177,2692.0,0.0,13.546143677559376,1.0
1000XECUSDT,61.823925083018445,0.2651386724273051,1.699999720495862,4320.005993858544,25626.0,-1.985789498978276,63.809714581996666,7.0
1000XUSDT,2.1639377368901207,1.791816751864454,0.1448780508299145,369.9542951683169,1793.0,5.507975291329362,-3.3440375544392387,4.0
1INCHUSDT,117.39017777692146,-1.8834792815820305,2.939458166072249,7674.844876430103,31172.0,33.52686714396022,83.86331063296188,8.0
1MBABYDOGEUSDT,-36.41965850803626,0.4017560124077704,0.4168509694735137,1069.1027330903478,6417.0,-22.287427773678356,-14.132230734357737,5.0
