month,ic,ntrain
2022-01,0.1094158918536602,31512
2022-02,0.026526104331439065,35318
2022-03,0.04553523283414952,38863
2022-04,0.05164210519112768,41636
2022-05,0.09093938893493092,44125
2022-06,0.06357178787133488,46743
2022-07,0.03650563166459284,49212
2022-08,0.1413816242878432,52497
2022-09,0.08081868726392492,56433
2022-10,0.007737848669257688,59980
2022-11,0.07648634502700209,63193
2022-12,0.10036781377176601,66669
2023-01,0.021967060656676307,69749
2023-02,0.07320745042651673,72985
2023-03,0.06018648006102151,76746
2023-04,0.05916791828135479,80800
2023-05,0.024459180215432263,84568
2023-06,0.08952338510106732,88209
2023-07,0.024522095788768048,91759
2023-08,0.023533994210656967,95889
2023-09,0.04759300711965595,99670
2023-10,0.07220905033467144,103248
2023-11,0.05563309818750109,106775
2023-12,0.08110690746845889,111096
2024-01,0.07704714409010976,115655
2024-02,0.07098037849615772,120202
2024-03,0.07265750879250546,124105
2024-04,0.07788783411634974,128755
2024-05,0.03622277634621971,133255
2024-06,0.02682713288859203,137860
2024-07,0.08343719428130564,142288
2024-08,0.08983781817372263,146615
2024-09,0.024657053260751325,151104
2024-10,0.06750210070111856,155268
2024-11,0.112919126949037,159797
2024-12,0.08902170562419262,164177
2025-01,0.08376465251615421,168827
2025-02,0.006290949332212142,173476
2025-03,0.0825317151765104,177631
2025-04,-0.018235827502138036,182150
2025-05,0.11720059397776973,186539
2025-06,0.11420718241974029,191188
2025-07,0.1107308750963862,195582
2025-08,0.17083643568505238,200189
2025-09,0.10441361704385659,204820
2025-10,0.1323961984566621,209297
2025-11,0.09022604507529933,213944
2025-12,0.13724864909036766,218369
2026-01,0.11748647349203756,222718
2026-02,0.08478375441299361,226884
2026-03,0.10879877324831068,230795
2026-04,0.11914485779140019,234761
2026-05,0.08074299817161136,238724
2026-06,0.11430244295590049,243135
2026-07,0.15373782881330458,247162
2026-08,0.11901531029913325,251189
