label,sharpe,cagr,mdd,worst_day,turnover,y2022,y2023,y2024,y2025,y2026
D0 REF smooth0.4,1.423421509598829,0.22091163067884567,-0.14392703928700634,-0.07126533927583623,109.31594608064749,1.1375546524155318,0.29903780616092157,0.8669515609881513,2.446678524565474,2.2695807042816143
D0 REF smooth0.5,1.542020038579828,0.23593218202624988,-0.11113861645011591,-0.037702047378860404,95.4691940058321,1.3265567780182623,0.4560684167876269,0.7922472806051651,2.861373614237171,2.180730698910816
D0 REF smooth0.6,1.52627305815145,0.23071172363328385,-0.12486429822177625,-0.037726993716696855,80.91690084865735,1.369816722341435,0.38472834875820516,1.0374760784241612,2.7157554276214273,2.001459633949429
D1 ML age180 smooth0.5,0.9984502191513362,0.1425230074066568,-0.14380469699519083,-0.06937037061395979,95.95611471617183,0.7516950938552628,-0.06117563252502669,0.12189378804145158,1.8837418859944315,2.605359030562166
D2 ML IV smooth0.5,1.278492544312602,0.19745178377232464,-0.21520248973724676,-0.07909965582632306,90.45062416516429,0.428494220179273,0.437867674402653,0.9000756120250559,2.449586735106881,2.2246101502950095
D3 ML age180+IV smooth0.4,1.2115461026987988,0.181522651268881,-0.1483000850899142,-0.045303437665241475,106.96783030727494,0.818261131790443,0.2552450963092269,0.3589604106434135,2.684973324991391,1.9165632955965919
D3 ML age180+IV smooth0.5,1.2513912348808842,0.19233355645418593,-0.1485446657656717,-0.06950602600305966,94.96112778782009,0.9006311986849717,0.185374022293777,0.6594836703732789,2.5935897382269903,1.7158473567021024
D3 ML age180+IV smooth0.6,1.0679372916844792,0.15647774950637805,-0.13894284682873914,-0.04767502834076809,83.53393593133652,0.7606957473016744,0.26831304481576707,0.23184828364456606,2.491913371288405,1.5842757389378717
"D4 ML age180+IV, core IV smooth0.4",1.0981847501305704,0.1691877255353078,-0.2131451462240197,-0.0808446749112881,110.45915825957276,0.34595200155128,0.2585268058574671,0.5285682913004173,2.129887931467508,2.174137357010823
"D4 ML age180+IV, core IV smooth0.5",1.1705206333746367,0.17844457518901713,-0.16633433456894609,-0.06274171703105758,97.70419922031611,0.8041253869869343,0.07275173633252409,0.5554007128655654,1.9503858074585156,2.4824821479095966
"D4 ML age180+IV, core IV smooth0.6",1.0628326546414342,0.1626060598802581,-0.19587184492599496,-0.07098719726354397,85.35095274857575,0.48231725862899644,0.19160951279645322,0.3055538749233973,2.108996224186365,2.168989708474702
D5 ML+core age180+IV smooth0.5,0.5063567374796415,0.06681538005538412,-0.20515089252470342,-0.08350706310787337,94.34548675010231,0.9351751653287156,-0.012649441914887875,0.1997747668631929,0.6530529348045795,0.7905494837746248
R5 w8=1.5 band0.2,1.714652782804072,0.25250535930852047,-0.16827098416653452,-0.05024951693441748,223.30165911240192,2.1655861906260725,1.0659704965295813,-0.053232723144176576,3.2897055645549718,1.812962409159542
R5 w8=1.5 band0.4,1.727306857975334,0.25727687040705227,-0.17966981871720045,-0.06436583448685818,207.09133425491586,2.2100092755668053,1.7835907146128,0.42708558511933226,2.7178268935482848,1.2100718476129495
R5 w8=1.5 age120,0.824608558760601,0.11007085396697747,-0.20352299235500404,-0.05734915792723383,214.37857428328655,2.4130734749906098,1.0906082477955803,1.9746463408067263,-0.766046770573967,-0.19547637581838304
R5 w8=1.5 age240,1.7713591798353368,0.27081342323038315,-0.17753921125434935,-0.06599956558210374,210.56254088974373,2.117009350800557,1.5570419233773762,0.5166995043903279,2.8927437416816937,1.468448038990746
R5 w8=1.5 q8=0.25,1.7108883914252564,0.2590835238685807,-0.16070396479489857,-0.06544017009933123,210.79844920430259,2.002041440975678,1.0036637169085694,0.7533354469488565,2.759275806482703,1.757319693139713
R5 w8=1.5 q8=0.35,1.7742958676267069,0.26111972084186963,-0.16930096230718916,-0.06419196758887435,210.3932215364861,2.4442583323537894,1.2778301827512426,0.47201778088757756,2.99897726142122,1.3760394801892966
R5 w8=1.5 EQ100k,1.7729049656327014,0.2675653300863401,-0.17345669869935187,-0.0637117229334635,216.83444382335006,2.3340675196772205,1.1134651308526078,0.6624353933487264,2.84223119052825,1.6024128419098362
R5 w8=1.5 min_trade5,1.7966505854318595,0.2694666456917163,-0.16735462158134773,-0.05006764963788102,216.04506631955667,2.24710511543496,1.1949120768679544,0.4669686527311745,3.1297508572177395,1.6047196587387833
R5 w8=2.0 band0.2,1.2005395217541184,0.17042501748200323,-0.1762391081642246,-0.058182907907479486,243.69755480795905,2.020315881815093,1.4131914790387046,1.6108101169307363,0.06302426983828391,1.2141031588571045
R5 w8=2.0 band0.4,1.1629993200634656,0.15820351123754217,-0.15363615666096642,-0.060352336418903585,228.3087573074417,2.362399490958672,2.306979904194581,1.0429440104441503,-0.05220061709331773,0.4799477366252754
R5 w8=2.0 age120,1.941915282018972,0.2960756209604427,-0.17243183499111758,-0.06629584522263021,231.54438545901237,2.5230415070442644,1.6677537712344086,0.7443472132869365,2.754745362699356,1.7847750284163348
R5 w8=2.0 age240,1.8571516697342625,0.28316550353129677,-0.16886046728233806,-0.06506771013945523,232.27565545646627,2.084068265965327,2.118762018330031,0.7830523723461421,2.6465944668926977,1.4898070389686975
R5 w8=2.0 q8=0.25,1.7590848667589887,0.27188878352813095,-0.16575707467706868,-0.0641452464300366,230.84888143446517,2.3470134317742866,1.4977934653091192,0.4317080336722667,2.715176097414389,1.555486828018278
R5 w8=2.0 q8=0.35,0.8125422805805366,0.10649922950181945,-0.16419060216236592,-0.05662061117648409,234.67877038124,2.273113663541257,1.3781698272003504,1.281222763521378,-0.25594210581360677,-0.4760680851130012
R5 w8=2.0 EQ100k,1.807803499794236,0.2732512444533495,-0.16762820342531637,-0.06047603778578914,240.06631504975476,2.165191582233577,1.8804751445680652,0.35549001000097896,2.8041057286139974,1.605800930106107
R5 w8=2.0 min_trade5,1.8064815274525445,0.2777747887117572,-0.16997134399755087,-0.06657387239606594,238.5678683460068,2.3905760096605175,1.7170860751587629,0.43600802098196645,2.7380359169682182,1.4839992153418478
R7 smooth0.4 w8=1.5,1.2902460950078127,0.18187752457383244,-0.21978276744417224,-0.04734032787580689,220.7482676326927,1.6406152095389714,1.5818898603666862,-1.0066764698672115,2.946381777322834,1.1761332024006577
R7 smooth0.4 w8=2.0,1.3027586291097841,0.18561935896237025,-0.1962216580502184,-0.04947363163228613,248.555814757169,1.652125971379209,1.7741846800394234,-0.7846076934517326,2.465023185501523,1.3372308714211736
R7 smooth0.4 w8=2.5,1.2487911367660323,0.1753762921536357,-0.19483182697101986,-0.0519137192335104,265.2297382214109,1.6532057923423147,2.168104582067715,-0.9329643587580487,2.0088158075431046,1.4089827991759027
R7 smooth0.5 w8=1.5,1.3316923882787388,0.18736286457628482,-0.17986840148307315,-0.04294805608388785,195.99686368486726,1.6351360791907277,1.2646726048013897,-0.5997917543078614,2.693383861946421,1.6358298414125336
R7 smooth0.5 w8=2.0,1.3108847922319875,0.185165128054805,-0.18822090331287555,-0.04246470149846049,215.1790251120774,1.361798321849767,1.7983006148040004,-0.846418688251174,2.7578123926618514,1.410928204270548
R7 smooth0.5 w8=2.5,1.4918839832702564,0.212158166662471,-0.14921839167645357,-0.03827354531049887,231.16725584925382,1.4835737837042875,1.8634141860099467,-0.06421891200559877,2.5163648458115166,1.6053373582759838
R7 smooth0.6 w8=1.5,1.3476787030249742,0.19155214955755406,-0.18685137171239952,-0.04457557701288062,167.1670980743871,1.6292734377054108,1.5545442437216037,-0.698910806657859,2.716107168136914,1.509776935600507
R7 smooth0.6 w8=2.0,1.3262641884114237,0.18788551968477418,-0.1577542401256683,-0.04593536471040627,183.42179263625948,1.4554742080100591,1.763089007336624,-0.5869152106288523,2.581131550452613,1.3781173769515054
R7 smooth0.6 w8=2.5,1.3988013283055691,0.19981975076589875,-0.15192572880882904,-0.04567981754217865,197.95834999337438,1.3719827556360438,1.67133691692338,-0.1744636515327199,2.604200334796781,1.461261410209066
