label,sharpe,cagr,dvol,mdd,calmar,worst,p1,turnover,fees,slip,funding,npos,gross,sh2022,sh2023,sh2024,sh2025,sh2026,r2022,r2023,r2024,r2025,r2026
A listing,0.524784406980636,0.08780763711903217,0.010345538894146925,-0.4323433751422465,0.20309698717378366,-0.0979485565828434,-0.034020843378854256,10.404646130593166,0.0031734170698309136,0.0006571979107371259,0.05722712514640579,193.0381455399061,0.44644793141617556,0.6966109816306802,1.0996747116950851,1.0201941974913888,0.2972158635092939,-0.16440626685750037,0.07164405566767407,0.14954471372460443,0.1830459884633,0.0443968323057955,-0.027291366296555264
B TS ens,0.3817125682829899,0.019841387831050827,0.002900518315469749,-0.10467362493907573,0.1895547961871438,-0.014978705054187524,-0.008211049597378001,14.861913623268247,0.004532883655096803,0.0004792489821464475,-0.03182785814798732,130.72241784037558,0.12743813556993927,0.7251685876088734,1.9556218234878215,0.6489244185377383,0.11564029384493622,-1.156249075089051,0.032555341809655136,0.10272653369464657,0.02433939859159273,0.0051151897027184035,-0.06514762513460082
C core336,0.9950569783309419,0.23141297172950637,0.012400302902817314,-0.3402912388971263,0.680043870066902,-0.0539632389068061,-0.027107150224145005,101.60005929163253,0.030988018083947848,0.006117409095160152,-0.14182128803631733,308.7488262910798,0.9826117067867685,-0.8795993100070757,-0.4972611063634164,0.819349985969416,2.789014491498752,1.7481702224498257,-0.18126839458765742,-0.08425684563424551,0.14985222278995058,1.1556489238328145,0.4202914770337465
D ML h3,0.46289862486204686,0.0863736224324596,0.012732619443360507,-0.2836177207037507,0.3045424027581749,-0.10112837867866542,-0.040980843125808825,169.72808930519085,0.05176706723808334,0.011936470617139289,0.21714532758603833,325.5610328638498,1.3192405268244194,1.1200373496110174,0.25430037690694185,0.2519297193250959,0.06746780160790446,0.9456166678728086,0.18730263133487535,0.025020002973033195,0.027875962879369443,-0.03131439770535338,0.2143333039448505
AB,0.5795321885832567,0.09565423100007941,0.009852270028855463,-0.4256976739203773,0.22469991413030532,-0.09711140415624031,-0.03173808862256959,16.026830412329186,0.004888183275760405,0.0008750273521412654,0.05650018225336809,289.61384976525824,0.5006237074141239,0.7247787869908605,1.3950975944435031,1.1408449055763763,0.258769395501593,-0.11085826610153965,0.08487289302339862,0.17920001491387016,0.18376919263045965,0.032474965406304346,-0.020809330656180958
ABC,1.1763121237829215,0.26844885964847554,0.011681118186617028,-0.27131234107460855,0.9894458084573771,-0.09544168805075515,-0.03429132053508998,58.008060170252584,0.017692458351927058,0.003530715392719232,0.01607087612367209,329.3298122065728,0.9406878323495206,-0.08731765966022394,1.0762067604490124,1.6986072566481318,1.5016900662062687,1.5370005185849585,-0.02508588550682722,0.16511921188756862,0.41306684765171275,0.5623858830997039,0.2084498632830103
ABD,0.7484003701726809,0.15630694256653888,0.011991242831840276,-0.4348583681032562,0.35944333528377864,-0.1014884454742071,-0.03754723832740797,48.55358306657674,0.014808842835305917,0.003180353523790224,0.12065909317589003,333.6484741784038,0.8597031784191695,0.9757046745392226,1.161131029406719,1.3854334750354107,0.40898311351680944,0.30066688289203364,0.14304742639889123,0.19066875474106526,0.2962937877539886,0.08495564286132251,0.028280573315396573
ABCD,1.1573786769404475,0.2619466912398585,0.011632217213534005,-0.2994247300735776,0.8748331852905307,-0.09771465594326534,-0.03391770693477677,62.6861462317999,0.019119274600699,0.0040303255077689506,0.05617804447091708,332.75704225352115,0.932914728842082,0.35831858607234884,1.0201656378993107,1.61518715069938,1.2710929594371507,1.6290234398471062,0.04161984602212687,0.15643458685046485,0.38427113447215366,0.45164053118149283,0.22236017110485662
ABCD VT0.6 maxlev3,1.2771915121711475,0.18779557045769946,0.007460875850338039,-0.15041647184330054,1.2485040162678152,-0.04552459811756715,-0.022215573781156257,49.806726758536,0.015191051661353516,0.003022980909334578,0.020346731091218023,327.96772300469485,0.5882143222488991,1.3433838095498203,0.34983987595997923,0.5119611174873033,2.10969065280846,2.4418695504805483,0.1719280690485281,0.0385893556656971,0.07041943062428158,0.36329775267489883,0.2560245631792688
ABCD VT0.6 maxlev3 stop30,0.9538778447220405,0.12950417854295582,0.007191679937718643,-0.15107850770663667,0.857197887718274,-0.03821226037036807,-0.023165532740046006,54.77736079171559,0.015838083486983158,0.003149646096986688,0.021446855634325426,238.93133802816902,0.6066764225132841,0.5334726201308674,0.47661677395663365,0.54732984038886,1.7288117823759044,1.5947774300691573,0.05908812810246866,0.05237347869390363,0.07483977256417007,0.2743611598307325,0.15572492863833554
ABCD VT0.6 maxlev3 stop30 dailystop2%,0.7706219812047868,0.1016127081996856,0.0072067843380993835,-0.13940474511242817,0.7289042233736879,-0.030946614102941528,-0.021718483211625606,68.26414813564007,0.017075348772779712,0.0033012709010671994,0.013566097152542261,157.97937536829699,0.5545872239353136,0.653823686572948,0.3573202769800103,0.5560632678384898,1.397783243565434,0.8166605760530655,0.07357119465485273,0.0378288624177614,0.0754689991878843,0.22551587854626542,0.06927399244006605
