label,sharpe,cagr,mdd,worst_day,turnover,y2022,y2023,y2024,y2025,y2026
R5 w8=2.0 base,1.8427111705987662,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,2.33391233048514,1.1775946603475844,1.4122935553986509,2.4516456823399877,1.7961656408715396
R5 w8=2.0 band0.2,1.8156404416137992,0.252238983266623,-0.11775529480201585,-0.03428754368146292,337.15240555521257,2.359848510483755,1.1093693364150845,1.477550935622653,2.4148367981926873,1.6138386189752405
R5 w8=2.0 band0.4,1.9442253354162946,0.27137287426696877,-0.12092028788897502,-0.030422034750674065,297.86828579601394,2.310132036013361,1.590038370994826,1.5865027584566374,2.448289889234879,1.6537676813124722
R5 w8=2.0 age120,1.8544202317787273,0.25975140069673897,-0.12079561029669916,-0.03460121943457117,311.5115225457642,2.5588183666148834,0.9224031780381481,1.4665079654450004,2.3352951892689537,2.029979952633577
R5 w8=2.0 age240,1.8274764823587963,0.25309146957795714,-0.13779223770298088,-0.03511372019867409,320.7635965947987,2.2264258287903584,1.2535250219649188,1.4315993047589475,2.3943125475100175,1.7917487579027191
R5 w8=2.0 q8=0.25,1.8813582542364078,0.263272729199576,-0.1169196360536483,-0.03772913265680833,321.9272683722834,2.4181134589353075,1.3745518087158723,1.4014057469421954,2.41360665217052,1.6993879569731765
R5 w8=2.0 q8=0.35,1.77797183240063,0.24462322888276256,-0.11855458593734602,-0.03413219239405496,311.9422459501034,2.265958453405661,0.9550181471174333,1.5281663643045185,2.390227544661172,1.7173638195600456
R5 w8=2.0 EQ100k,1.8233553523966948,0.2529970445920082,-0.115270632564902,-0.034169288196527314,315.9742031561476,2.3101300244671696,1.1655703980732437,1.3965036458055944,2.4444479665983208,1.7479064408332425
R5 w8=2.0 min_trade5,1.786146572530822,0.2470290432104394,-0.11616413944905846,-0.03416235147578872,316.0364152439823,2.242715604458007,1.1507895877298921,1.306167168010639,2.450782424899642,1.732785343061401
R5 w8=2.0 vt_smooth.5,1.8073787776662058,0.2503307766521783,-0.12609582071046577,-0.03481219638092847,305.9851487446711,2.353118071735709,1.0755443859554348,1.375181112975276,2.413326601232925,1.7879469525661984
