,price,funding,cost,traded,hours_held,long_pnl,short_pnl,stops
0GUSDT,-13.851306237018843,-111.63081660623413,1.5640357623607373,4091.8834489134892,1896.0,-13.354831719782435,-0.4964745172363962,0.0
1000000BOBUSDT,-97.28124047251052,-26.608348244690863,0.16038457191162184,435.59441700549996,384.0,0.0,-97.28124047251052,0.0
1000000MOGUSDT,169.8371130410087,2.407327697230859,1.581705520447085,4109.980353692996,2064.0,87.54246169996594,82.29465134104242,0.0
1000BONKUSDT,-254.49352774022256,10.46703458704222,5.388851361217057,15049.309771716578,10320.0,112.08879229772343,-366.5823200379446,0.0
1000BTTCUSDT,11.691464567836015,-0.5327392177963621,0.6651702416974993,1630.656462013576,600.0,11.537315147657708,0.15414942017830158,0.0
1000CATUSDT,31.524321453883456,3.1189431816650774,1.141706419588205,3053.949422728787,1968.0,-9.6011975171684,41.12551897105188,0.0
1000CHEEMSUSDT,-35.02816108231531,0.5048534709046375,0.5342135641027872,1397.3898393910763,1056.0,9.178652033828133,-44.20681311614339,0.0
1000FLOKIUSDT,394.8243740433135,9.702291270678748,7.166915595241817,19161.925770948958,11400.0,313.41916947341286,81.40520456990035,0.0
1000LUNCUSDT,302.2694370027398,-2.896415213138045,7.598982819599209,20294.962918261543,14088.0,113.92843681785098,188.34100018489045,0.0
1000PEPEUSDT,-159.18267555539276,-2.21569546763579,6.857950420087585,20208.877278994296,15000.0,45.987256056413045,-205.16993161180605,0.0
1000RATSUSDT,-103.43290164038763,26.963346034531703,4.022916454391259,10892.086566462529,6552.0,16.740138467747105,-120.1730401081355,0.0
1000SATSUSDT,202.4455625656958,8.179224780686667,3.6689795831862506,10359.986655639666,7128.0,113.45998242670449,88.98558013899137,0.0
1000SHIBUSDT,-162.82713157886025,7.777564860058571,11.053011350133026,31596.819529418433,23472.0,-71.16427634864239,-91.66285523021702,0.0
1000WHYUSDT,9.93078310667488,1.2336324401492735,0.28916614028044285,709.9572115307358,312.0,0.0,9.93078310667488,0.0
1000XECUSDT,254.48322765283032,6.121984527366218,7.107461759920385,18088.866189751316,8784.0,115.32050226830908,139.16272538452074,0.0
1000XUSDT,28.919485781871348,0.5601023427557781,0.5688946700991708,1434.6916466045154,864.0,0.0,28.919485781871348,0.0
1INCHUSDT,36.09234373896381,2.3272047371017486,9.968951051288787,26270.478969453707,15840.0,59.66445613425386,-23.57211239529024,0.0
1MBABYDOGEUSDT,9.180977593582515,0.6005974180754878,0.7662584156343488,2141.144879445169,2640.0,-26.357305353965888,35.53828294754844,0.0
2ZUSDT,-31.22839996790576,-0.42268644801892064,0.5783092419639976,1462.5420543180373,480.0,0.0,-31.22839996790576,0.0
42USDT,17.17055256637734,0.7442843501983102,0.20605698163690056,518.9339341182302,216.0,0.0,17.17055256637734,0.0
4USDT,-45.50161072999075,2.8149106052050548,1.081427791788121,2724.6811513610774,1416.0,-38.688033919809904,-6.8135768101808445,0.0
A2ZUSDT,54.802688732887,0.699861365770446,0.5198107185847453,1317.489999228921,576.0,0.0,54.802688732887,0.0
AAOIUSDT,97.08766207653994,0.6456663244786324,0.7123536862112073,1775.3169707867814,840.0,0.16574433353131218,96.9219177430086,0.0
AAPLUSDT,11.199499722113432,0.07870161542152909,0.5608105890484223,1410.373990917934,672.0,10.414465318641003,0.7850344034724311,0.0
AAVEUSDT,77.55521691542324,-2.5268558466433673,11.696631557974367,32620.066109579144,23760.0,201.65947082369584,-124.10425390827352,0.0
ACEUSDT,-253.93427602415397,-2.5326824353466217,3.0777735985051664,8202.164693241679,4872.0,-32.44718918969293,-221.48708683446088,0.0
ACHUSDT,-108.09654010747873,-1.8874183923517842,5.50551801060561,14192.982856833449,6792.0,-36.50178342301052,-71.59475668446849,0.0
ACTUSDT,125.91681818202738,1.691180685105478,1.350257178767978,3581.5675959961436,2496.0,4.705735446732165,121.21108273529518,0.0
ACUUSDT,-17.104950385105482,0.7469057262421519,0.3958565538077884,944.183202439478,384.0,0.0,-17.104950385105482,0.0
ACXUSDT,33.530438078666414,0.5433906868835081,0.14690021137467296,394.29389951929204,552.0,0.0,33.530438078666414,0.0
ADAUSDT,24.605426555399877,-9.997060475615289,10.263908444846715,30143.051787980752,24360.0,11.410294366983996,13.195132188415812,0.0
ADBEUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AERGOUSDT,-17.963973324270547,10.147902239849026,0.7717408918683157,2002.6829335196348,1080.0,-24.056904559087595,6.092931234817045,0.0
AEROUSDT,-35.45151059037253,1.1571339022612575,2.016598304862703,5113.919838039839,2472.0,-45.60701868729354,10.155508096920988,0.0
AEVOUSDT,56.9361685493937,-10.893000490180485,2.0239804485046533,5408.24951924461,4344.0,-69.91771383389336,126.85388238328676,0.0
AGIXUSDT,92.40564402430066,-4.1531884086163995,4.5743126308947755,12270.633606470037,7560.0,65.17633383019762,27.229310194103135,0.0
AGLDUSDT,-31.950496485233806,5.553463682877138,3.8205593519856116,10062.552560803535,4728.0,75.16522420694581,-107.11572069217968,0.0
AGTUSDT,-170.72646306981824,0.048204296147839554,1.0866611446002816,2809.0546924256573,1008.0,-51.669085291763594,-119.0573777780547,0.0
AI16ZUSDT,87.59023245570977,1.200847038274134,1.0922481648537323,2922.693811389199,3024.0,-58.215448882206324,145.80568133791613,0.0
AIAUSDT,-984.6161361557697,-23.511225416112538,1.4846897676861552,3949.355190614855,1536.0,-36.96697178377346,-947.6491643719967,0.0
AIGENSYNUSDT,74.96991602995095,-18.988956210372844,0.3560236944682944,917.6969545888132,720.0,0.0,74.96991602995095,0.0
AINUSDT,-2.6839677009898755,0.4798807967432615,0.38111905941272,890.7264813029603,360.0,0.0,-2.6839677009898755,0.0
AIOTUSDT,428.1265208444892,34.00058843276475,1.4515962666097029,3833.2124036890855,1560.0,457.8502782445438,-29.723757400054673,0.0
AIOUSDT,97.03225188733452,2.1750787239982254,0.988868134520175,2390.6871050411632,960.0,0.0,97.03225188733452,0.0
AIUSDT,-102.70028798285452,5.544433425643551,2.032762655223396,5314.993461111758,4848.0,-58.84116493326245,-43.85912304959259,0.0
AIXBTUSDT,-179.37485971959887,0.3007023355056588,1.948120093525542,5211.532715666886,3744.0,-58.71558779080823,-120.65927192879074,0.0
AKEUSDT,27.447306703925694,0.10971875969698378,1.1955167252831065,3017.309370454941,1392.0,2.0573636444687162,25.38994305945697,0.0
AKROUSDT,-35.796815046092476,-0.1573349286564714,2.069688890124915,5259.836009200037,2568.0,-65.69775295187709,29.900937905784684,0.0
AKTUSDT,-6.86150665781064,0.3327402500112537,0.6291436281616405,1493.7896674621165,456.0,-7.327615103448013,0.46610844563737514,0.0
ALABUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCHUSDT,100.0994489720192,3.608030672194195,1.9467147077333466,5029.788821974881,2496.0,124.33661416122462,-24.23716518920548,0.0
ALGOUSDT,137.49554680548437,1.5573239836594928,11.658067650823865,31130.78628732632,21336.0,14.324519748187848,123.17102705729707,0.0
