,price,funding,cost,traded,hours_held,long_pnl,short_pnl,stops
0GUSDT,42.63713199569354,-89.57628865867267,1.725385333959409,4480.904537370406,1854.0,-47.03561401911169,89.6727460148052,1.0
1000000BOBUSDT,-157.54577461592305,-19.10616902919777,0.7498404405701896,1328.8593329197192,527.0,0.0,-157.54577461592305,3.0
1000000MOGUSDT,209.39010922281486,1.9611267722024608,1.9095308455917583,4745.546165595547,1853.0,89.39415876218023,119.99595046063463,2.0
1000BONKUSDT,-314.2708233312467,18.46121125936725,5.546748739433853,14252.496922062033,8740.0,-59.77181466044355,-254.49900867080322,12.0
1000BTTCUSDT,7.753343193959266,-0.44098209414037254,0.3038967409693653,730.4721841090483,312.0,0.2679306808655962,7.485412513093669,0.0
1000CATUSDT,-68.39220762802957,1.7408454542623577,1.5357228678898789,3579.369212210064,1474.0,-20.608773883208304,-47.7834337448214,3.0
1000CHEEMSUSDT,-84.5816728686284,0.3148175827255362,0.8808372818515992,1914.0942291709787,1050.0,0.5199183412771968,-85.10159120990554,2.0
1000FLOKIUSDT,209.3298582747968,8.057978823824012,6.5484498670002935,17098.453242716318,9622.0,86.37615902480417,122.95369924999397,3.0
1000LUNCUSDT,36.12021183900581,1.9386749241348074,7.307068607642067,18774.987168899923,12138.0,63.7226695757476,-27.60245773674193,7.0
1000PEPEUSDT,-222.84200393667444,5.907222759182845,7.124937706107477,19760.987133192153,12038.0,-106.88103217964172,-115.96097175703318,11.0
1000RATSUSDT,-66.76238305318552,18.107638862903745,4.39141358912807,10471.422561554547,5086.0,61.6993755021632,-128.4617585553484,10.0
1000SATSUSDT,-34.177903152957015,9.633449565191667,3.9691753290846568,9969.976808593106,6058.0,30.279265736607016,-64.45716888956389,6.0
1000SHIBUSDT,-83.09537741227652,10.058530442005987,11.182587835980545,31074.168399535956,20578.0,-60.90134376541737,-22.194033646859467,7.0
1000WHYUSDT,9.071870480950958,0.803900641691547,0.20265148410143458,508.75529752502007,264.0,0.0,9.071870480950958,0.0
1000XECUSDT,182.14470575114234,10.304552997175435,5.988637300802823,15196.5683179309,8040.0,61.84675723386288,120.29794851727932,0.0
1000XUSDT,22.902912995127163,0.45438023304546227,0.6417578900512126,1609.8283694248796,648.0,0.0,22.902912995127163,0.0
1INCHUSDT,115.8116233392487,-0.026103954888746544,8.882531092601127,23239.156221298403,13905.0,94.41526959251394,21.396353746734544,1.0
1MBABYDOGEUSDT,-20.075233519357482,0.7587815660690013,0.8880128321391969,2239.9299107946404,1809.0,-27.058574918971118,6.983341399613637,2.0
2ZUSDT,-21.93851235794282,-2.445492185886906,0.6856042354663952,1705.5622301309693,768.0,-12.568166009493446,-9.370346348449388,0.0
42USDT,64.61855490627208,1.183978793144187,0.4505857957506813,1083.0768781389736,300.0,0.0,64.61855490627208,1.0
4USDT,122.89110953424388,4.63918841871707,1.4124856101278955,3446.9946069588445,1750.0,-41.96026687088568,164.8513764051298,2.0
A2ZUSDT,50.352393899314194,0.7732601721038669,0.5820292434619644,1475.9844114224625,624.0,0.0,50.352393899314194,0.0
AAOIUSDT,127.19357093895529,0.27071490051248187,0.5346127112713752,1326.4054202981,624.0,0.1467126522540938,127.04685828670124,0.0
AAPLUSDT,11.517086253359574,0.12380402020700619,0.3381061975468018,852.8627431042466,528.0,11.40167179069554,0.11541446266403002,0.0
AAVEUSDT,-36.09881493276529,1.662706340025618,11.095974747770365,30468.567997147744,20205.0,90.90342516612606,-127.00224009889159,5.0
ACEUSDT,-184.0008524925623,-5.659405080410155,2.44319081018065,5704.6437061635515,3244.0,-21.411203376203524,-162.5896491163589,6.0
ACHUSDT,-91.44465251391267,2.386688746194648,5.041152783882652,12764.526440896963,5695.0,-87.93391507111866,-3.510737442794222,3.0
ACTUSDT,162.8331271202358,1.9444418164809958,1.6767128921135293,4446.582984012319,2688.0,7.702786717646338,155.1303404025895,0.0
ACUUSDT,-81.98423826312346,0.34420981586165617,0.39617604223052844,771.033410138564,298.0,0.0,-81.98423826312346,1.0
ACXUSDT,57.403192733566,0.32566605568184886,0.18417169678430298,495.1605247700683,360.0,0.0,57.403192733566,0.0
ADAUSDT,-100.31544697296466,-2.1998585638061066,10.220815354369401,29706.625753881017,19677.0,-68.79757886563891,-31.51786810732561,4.0
ADBEUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AERGOUSDT,0.7820698810330224,-1.4912546299397,1.0536478855681217,2753.2962603115384,1080.0,-38.15231163949282,38.934381520525804,0.0
AEROUSDT,-121.05447930144088,3.177990503695342,2.151125710978444,5331.418950669767,2492.0,-123.52318882272799,2.4687095212871295,1.0
AEVOUSDT,38.95587581040889,-11.752908820278279,1.4339310200071143,3608.4833911389615,3777.0,-50.6829709013814,89.63884671179063,4.0
AGIXUSDT,227.652007101332,-0.5301159979032559,3.882419000782373,10152.54810435912,6675.0,132.32901186239343,95.3229952389376,1.0
AGLDUSDT,26.24731694073157,-5.750668028295637,3.4700375339690197,8758.849195879973,3465.0,8.770864465038745,17.47645247569296,2.0
AGTUSDT,-58.20269160237727,1.169463065726337,1.1671547609871065,2662.431060598119,1009.0,-32.203978182161315,-25.998713420215996,1.0
