,0
2022-01-01 00:00:00+00:00,10000.0
2022-01-01 01:00:00+00:00,10002.677453588238
2022-01-01 02:00:00+00:00,9997.273248588239
2022-01-01 03:00:00+00:00,9996.339947588238
2022-01-01 04:00:00+00:00,10004.993819588239
2022-01-01 05:00:00+00:00,10014.105966588239
2022-01-01 06:00:00+00:00,10010.724889588239
2022-01-01 07:00:00+00:00,10004.961032588239
2022-01-01 08:00:00+00:00,10006.740581757631
2022-01-01 09:00:00+00:00,9999.98267675763
2022-01-01 10:00:00+00:00,10010.65222475763
2022-01-01 11:00:00+00:00,10016.952294757632
2022-01-01 12:00:00+00:00,10021.24151075763
2022-01-01 13:00:00+00:00,10019.89175375763
2022-01-01 14:00:00+00:00,10021.07534675763
2022-01-01 15:00:00+00:00,10013.563604757632
2022-01-01 16:00:00+00:00,10011.279075307266
2022-01-01 17:00:00+00:00,10011.514687307266
2022-01-01 18:00:00+00:00,10017.185498307266
2022-01-01 19:00:00+00:00,10005.357875307267
2022-01-01 20:00:00+00:00,9995.341871307266
2022-01-01 21:00:00+00:00,9990.945790307267
2022-01-01 22:00:00+00:00,9994.869788307265
2022-01-01 23:00:00+00:00,9998.251960307267
2022-01-02 00:00:00+00:00,9980.778799076115
2022-01-02 01:00:00+00:00,9972.865588508566
2022-01-02 02:00:00+00:00,9981.971051508566
2022-01-02 03:00:00+00:00,9977.996510508565
2022-01-02 04:00:00+00:00,9974.867653508565
2022-01-02 05:00:00+00:00,9975.033986508566
2022-01-02 06:00:00+00:00,9968.433978508565
2022-01-02 07:00:00+00:00,9969.088075508565
2022-01-02 08:00:00+00:00,9964.461001492498
2022-01-02 09:00:00+00:00,9971.054742492499
2022-01-02 10:00:00+00:00,9959.8336614925
2022-01-02 11:00:00+00:00,9953.125500492499
2022-01-02 12:00:00+00:00,9956.271404492498
2022-01-02 13:00:00+00:00,9955.943694492498
2022-01-02 14:00:00+00:00,9967.578348492498
2022-01-02 15:00:00+00:00,9972.1638064925
2022-01-02 16:00:00+00:00,9953.596256832354
2022-01-02 17:00:00+00:00,9947.503585832354
2022-01-02 18:00:00+00:00,9949.991555832354
2022-01-02 19:00:00+00:00,9946.750604832354
2022-01-02 20:00:00+00:00,9946.156361832354
2022-01-02 21:00:00+00:00,9944.562049832353
2022-01-02 22:00:00+00:00,9954.570587832355
2022-01-02 23:00:00+00:00,9952.304252832355
2022-01-03 00:00:00+00:00,9947.06336633655
2022-01-03 01:00:00+00:00,9946.721526720545
2022-01-03 02:00:00+00:00,9944.845180720546
2022-01-03 03:00:00+00:00,9949.847684720546
2022-01-03 04:00:00+00:00,9954.024288720546
2022-01-03 05:00:00+00:00,9947.544355720545
2022-01-03 06:00:00+00:00,9947.916529720545
2022-01-03 07:00:00+00:00,9953.327965720546
2022-01-03 08:00:00+00:00,9958.272843776525
2022-01-03 09:00:00+00:00,9963.431106776527
2022-01-03 10:00:00+00:00,9983.081342776526
2022-01-03 11:00:00+00:00,9988.278223776526
2022-01-03 12:00:00+00:00,9985.754934776527
2022-01-03 13:00:00+00:00,9992.301736776526
2022-01-03 14:00:00+00:00,9984.119096776527
2022-01-03 15:00:00+00:00,9985.264721776526
2022-01-03 16:00:00+00:00,9985.613583164033
2022-01-03 17:00:00+00:00,10001.608672164033
2022-01-03 18:00:00+00:00,10004.858940164033
2022-01-03 19:00:00+00:00,10000.471043164032
2022-01-03 20:00:00+00:00,9995.542315164033
2022-01-03 21:00:00+00:00,9984.581477164033
2022-01-03 22:00:00+00:00,9996.790094164033
2022-01-03 23:00:00+00:00,10005.092034164032
2022-01-04 00:00:00+00:00,10016.601905566018
2022-01-04 01:00:00+00:00,10010.870246658567
2022-01-04 02:00:00+00:00,9998.640127658568
2022-01-04 03:00:00+00:00,10003.973012658567
2022-01-04 04:00:00+00:00,10016.753570658568
2022-01-04 05:00:00+00:00,10025.291618658568
2022-01-04 06:00:00+00:00,10011.050602658568
2022-01-04 07:00:00+00:00,10009.759976658568
2022-01-04 08:00:00+00:00,10016.527684593819
2022-01-04 09:00:00+00:00,10005.42238659382
2022-01-04 10:00:00+00:00,10003.96340259382
2022-01-04 11:00:00+00:00,10006.53161059382
2022-01-04 12:00:00+00:00,10034.63338359382
2022-01-04 13:00:00+00:00,10018.62475859382
2022-01-04 14:00:00+00:00,10003.31817459382
2022-01-04 15:00:00+00:00,10014.09910059382
2022-01-04 16:00:00+00:00,9997.54351989185
2022-01-04 17:00:00+00:00,9981.890560891849
2022-01-04 18:00:00+00:00,9984.35283289185
2022-01-04 19:00:00+00:00,10000.092832891849
2022-01-04 20:00:00+00:00,10007.411169891848
2022-01-04 21:00:00+00:00,9993.579505891848
2022-01-04 22:00:00+00:00,9997.746242891848
2022-01-04 23:00:00+00:00,9991.77303689185
2022-01-05 00:00:00+00:00,10001.193257189841
2022-01-05 01:00:00+00:00,10007.611252448092
2022-01-05 02:00:00+00:00,9993.782765448092
2022-01-05 03:00:00+00:00,9996.344839448093
2022-01-05 04:00:00+00:00,9988.493161448092
2022-01-05 05:00:00+00:00,9993.226225448092
2022-01-05 06:00:00+00:00,9983.604404448093
2022-01-05 07:00:00+00:00,9986.098465448093
2022-01-05 08:00:00+00:00,9985.722015101319
2022-01-05 09:00:00+00:00,9977.58483010132
2022-01-05 10:00:00+00:00,9976.40381010132
2022-01-05 11:00:00+00:00,9985.33097210132
2022-01-05 12:00:00+00:00,9974.083846101319
2022-01-05 13:00:00+00:00,9980.707814101319
2022-01-05 14:00:00+00:00,9987.04538010132
2022-01-05 15:00:00+00:00,9992.90113910132
2022-01-05 16:00:00+00:00,9993.93308773397
2022-01-05 17:00:00+00:00,10001.03343173397
2022-01-05 18:00:00+00:00,10005.46605373397
2022-01-05 19:00:00+00:00,10027.01463973397
2022-01-05 20:00:00+00:00,10045.37266173397
2022-01-05 21:00:00+00:00,10050.88554673397
2022-01-05 22:00:00+00:00,10067.21175873397
2022-01-05 23:00:00+00:00,10080.93609073397
2022-01-06 00:00:00+00:00,10071.859383699668
2022-01-06 01:00:00+00:00,10058.290397585426
2022-01-06 02:00:00+00:00,10049.530453585427
2022-01-06 03:00:00+00:00,10047.974483585427
2022-01-06 04:00:00+00:00,10050.117204585427
2022-01-06 05:00:00+00:00,10058.978891585426
2022-01-06 06:00:00+00:00,10062.802878585426
2022-01-06 07:00:00+00:00,10064.802762585427
2022-01-06 08:00:00+00:00,10071.335567199942
2022-01-06 09:00:00+00:00,10070.516908199941
2022-01-06 10:00:00+00:00,10076.75884119994
2022-01-06 11:00:00+00:00,10065.58269919994
2022-01-06 12:00:00+00:00,10059.940471199941
2022-01-06 13:00:00+00:00,10069.17065219994
2022-01-06 14:00:00+00:00,10055.28366319994
2022-01-06 15:00:00+00:00,10063.165383199941
2022-01-06 16:00:00+00:00,10079.398138069088
2022-01-06 17:00:00+00:00,10094.020184069088
2022-01-06 18:00:00+00:00,10112.978838069088
2022-01-06 19:00:00+00:00,10108.894725069089
2022-01-06 20:00:00+00:00,10105.497013069089
2022-01-06 21:00:00+00:00,10076.334931069088
2022-01-06 22:00:00+00:00,10097.669464069088
2022-01-06 23:00:00+00:00,10106.155108069088
2022-01-07 00:00:00+00:00,10091.201571942718
2022-01-07 01:00:00+00:00,10087.173756131364
2022-01-07 02:00:00+00:00,10085.580581131364
2022-01-07 03:00:00+00:00,10092.760963131364
2022-01-07 04:00:00+00:00,10106.806880131364
2022-01-07 05:00:00+00:00,10091.939515131366
2022-01-07 06:00:00+00:00,10098.373756131365
2022-01-07 07:00:00+00:00,10102.487935131365
2022-01-07 08:00:00+00:00,10104.682018007255
2022-01-07 09:00:00+00:00,10109.636028007255
2022-01-07 10:00:00+00:00,10125.188101007256
2022-01-07 11:00:00+00:00,10118.275306007255
2022-01-07 12:00:00+00:00,10118.276847007255
2022-01-07 13:00:00+00:00,10126.183974007256
2022-01-07 14:00:00+00:00,10137.691634007255
