tag,smooth,w8,sharpe,cagr,mdd,y2025,y2026
R1 ML8 age180,0.4,1.5,1.6795151350710227,0.24511649564029803,-0.19576446522275626,3.1149960939394203,1.4193806079444131
R1 ML8 age180,0.4,2.0,1.911199928997046,0.2938703700579439,-0.1540430398397934,2.7371499905389443,2.1059071090972745
R1 ML8 age180,0.4,2.5,1.319087881618644,0.18746793483705582,-0.16103578235619798,0.15189467823380398,-0.421966300558862
R1 ML8 age180,0.5,1.5,1.619172899929271,0.2419614412811828,-0.17660039209721468,2.989020083645095,1.6139057341650969
R1 ML8 age180,0.5,2.0,1.6950875742850549,0.26306203729192434,-0.1506965419287034,2.6733434461521,2.0574667590358757
R1 ML8 age180,0.5,2.5,1.2255125079612994,0.17444878925684826,-0.16051715383034737,0.21068248430325306,0.22869489148921962
R1 ML8 age180,0.6,1.5,1.5997784637530799,0.24042904855299785,-0.18975052294344574,2.6675150949289113,1.576336148075122
R1 ML8 age180,0.6,2.0,1.3888641973297633,0.21355291360141604,-0.161249531283008,2.2580522730304193,1.7779999773553177
R1 ML8 age180,0.6,2.5,1.461035763597218,0.21369699268432307,-0.14748670507654482,0.6170587787866826,1.9096039350393408
R3 ML8 invvol,0.4,1.5,0.6827509018266525,0.08706669775488307,-0.20089423335388001,-0.6101949921142805,-0.37054992454133545
R3 ML8 invvol,0.4,2.0,0.9640702741818046,0.1309116061439397,-0.17582467392883294,-0.4556323082140766,-0.2803826198108602
R3 ML8 invvol,0.4,2.5,0.8888355353616031,0.11796239942017994,-0.1912046223572964,-0.38477887259859483,-0.6774932682280973
R3 ML8 invvol,0.5,1.5,1.9172798622810863,0.2898850461670306,-0.15576797079598037,3.632723717558033,2.16394116902527
R3 ML8 invvol,0.5,2.0,0.7997292703595474,0.10711002108531487,-0.16616536726556463,-0.5683466676803016,-0.033697456308497444
R3 ML8 invvol,0.5,2.5,0.8144414283870404,0.10566933163330683,-0.16052521887111548,-0.41970233004953444,-0.3084102111213758
R3 ML8 invvol,0.6,1.5,1.2231680938847578,0.16810333623973817,-0.1746040633860022,2.0808505861856177,0.10155591456276672
R3 ML8 invvol,0.6,2.0,0.610554421244076,0.07814718606388116,-0.197853508893981,-0.7476247786354999,-0.15390807023864983
R3 ML8 invvol,0.6,2.5,0.7507896203514343,0.09938490312555115,-0.18680850476208932,-0.6673952495669347,-0.24828949084349733
R5 ML8 age180+invvol,0.4,1.5,1.7642839451202104,0.2639583439136366,-0.19187351198909097,2.949537995530369,1.5435268029047193
R5 ML8 age180+invvol,0.4,2.0,1.4814896866227165,0.21618668696284504,-0.18422640314754402,0.3497632498014097,1.442304186249116
R5 ML8 age180+invvol,0.4,2.5,1.5541797901191363,0.2322494870666365,-0.17359069871275878,0.6290179993631905,1.3218810363567575
R5 ML8 age180+invvol,0.5,1.5,1.699231540715576,0.2488949232033868,-0.17470377466330933,3.368138183943553,1.2944563806683722
R5 ML8 age180+invvol,0.5,2.0,1.842385618241509,0.27890077729138807,-0.16283929768089078,2.857869625710628,1.649456576001428
R5 ML8 age180+invvol,0.5,2.5,1.9265292598088082,0.29745574130411434,-0.16396201440885816,2.7045068232161085,1.6771964768405407
R5 ML8 age180+invvol,0.6,1.5,1.981641533460966,0.2926677712918224,-0.15497063890400198,3.4218987455116365,1.5439630568989346
R5 ML8 age180+invvol,0.6,2.0,1.6628777854700454,0.24694635070857918,-0.16104747939189257,2.8079381524445357,1.5063620289032222
R5 ML8 age180+invvol,0.6,2.5,1.7192779444910513,0.25943312596009904,-0.16064045624527412,2.754665721637898,1.6282449227729077
R2 ML8 turn3e7,0.4,1.5,0.9294612791541537,0.1250078771902965,-0.17147576288310107,0.8845914988201773,-0.19043486153330022
R2 ML8 turn3e7,0.4,2.0,0.9280524336241969,0.12643566767873526,-0.17175195879962823,-0.34443134963107325,-0.10174059978267155
R2 ML8 turn3e7,0.4,2.5,1.0391589339859701,0.14017612376739774,-0.19167878710986652,0.7940228804113794,-0.7225308066708738
R2 ML8 turn3e7,0.5,1.5,1.0243355973420432,0.14041327610947096,-0.17341014719385173,0.806513449397355,0.15774508461409006
R2 ML8 turn3e7,0.5,2.0,0.9996253212028868,0.13625242415390137,-0.16959047600197008,0.7848914342735535,0.08867937296564828
R2 ML8 turn3e7,0.5,2.5,0.8372525740388836,0.11290278157320444,-0.1724313382878685,-0.4673257434542586,-0.20662044203190275
R2 ML8 turn3e7,0.6,1.5,0.8409309048817981,0.1111723546676977,-0.19095415581306596,0.6487384264955185,0.289680847035259
R2 ML8 turn3e7,0.6,2.0,0.832136607470328,0.11096286649226661,-0.18054777371842856,-0.5931755792629684,0.4255461855190328
R2 ML8 turn3e7,0.6,2.5,0.9037845172301511,0.1194223643524257,-0.17913784310647407,-0.44913359802465586,0.02818084630181131
R4 all-IV,0.5,1.5,0.5986739183386006,0.07459484502855585,-0.194824540793323,0.3339895112788135,-0.16653301158060335
R4 all-IV,0.5,2.0,0.8340649684816063,0.1126214417281628,-0.19927713224439492,-0.7055224153906848,-0.16835131471404247
R4 all-IV,0.5,2.5,1.1624122298712527,0.16405531540055995,-0.16154648235099922,-0.21095114715876995,-0.1684838973623394
R6 all-IV age180,0.5,1.5,1.673334395048532,0.25477829902622884,-0.1601810683934748,3.4149384956347624,1.4075011778301492
R6 all-IV age180,0.5,2.0,1.7135126000699794,0.2584613533032851,-0.1491144263335067,3.47226599292107,1.4581652466421575
R6 all-IV age180,0.5,2.5,1.820990411954572,0.2810536161817836,-0.16100727889283084,2.9870405844740886,1.3745785397932342
