label,sharpe,cagr,dvol,mdd,calmar,worst,p1,turnover,fees,slip,funding,npos,gross,sh2022,sh2023,sh2024,sh2025,sh2026,r2022,r2023,r2024,r2025,r2026
ref A+C+D3+D7 (band30 smooth0.5),1.2827702074529532,0.2522209704424194,0.009900496738560157,-0.23095200670727611,1.0920925647985749,-0.06858343900967945,-0.028140950375125786,136.95913186783528,0.0417725352196898,0.009599090414121273,-0.02705123994387464,143.94776995305165,0.9955777630420135,0.8021156547236211,0.3210881196363551,1.3830306859292167,1.4998138465694058,2.356932677014164,0.07135256418607105,0.029493765143777217,0.2546514248448688,0.47757092481414065,0.3957763306718187
A2(two-clock 7-90d)+C+D3+D7,0.961990481167906,0.1715053181703543,0.009503573901944829,-0.24458602694615295,0.7012065227540807,-0.07067242160709974,-0.028520669018609966,133.99225657798578,0.04086763825628571,0.00940729031668736,-0.020964148980981926,135.4149061032864,0.9555721080495918,-0.008000220074716595,-0.22038823481350156,1.1620747017700819,1.226698164447181,2.0769185863559034,-0.004549358121387459,-0.024547077759921154,0.1855343939995504,0.3589308313700865,0.337170217567059
tilt ML x1.5,1.2593118666133243,0.24596710159793944,0.009873093202180138,-0.23994436950594178,1.0251005309243066,-0.0631376756408587,-0.0284833549178804,148.21770425048229,0.045206399796397144,0.010526445163738938,3.571680683091989e-05,148.18838028169014,1.0562529511786738,1.6260874287515557,0.31044547002513356,1.519465847117058,1.1284234467178846,2.2236462323142767,0.162815393979022,0.028339209229580886,0.27023456857788397,0.3244413993159687,0.38592996581894634
tilt A x1.5,1.2176665935007078,0.24820744979381715,0.010367772992349587,-0.3023383840525792,0.8209591043183345,-0.07717796269255195,-0.03219779425126812,125.26036187359637,0.038204410371446985,0.008767733029525267,-0.024955877275732143,141.9911971830986,0.9460667659385416,0.9611632358626856,0.4022374807729585,1.3763066528485124,1.2528779360505427,2.3993613439395247,0.08554767699487797,0.03980889685078748,0.2639649756681941,0.4058264468768442,0.40175996705681416
tilt C x0.5,1.1799269028148658,0.23992933327867894,0.01041229959606557,-0.30579602487407687,0.7846057926778909,-0.06822016957075716,-0.031239396473122835,139.68298846644336,0.04260331148226516,0.00996468884827933,0.01284259701446445,148.04577464788733,1.0371560408136014,1.5327701176803294,0.49678596161224386,1.5158434770557025,0.8740081202719634,2.2641109129045907,0.1644665705620998,0.05458283913002404,0.2835545642703656,0.24711248034852207,0.3865678107328656
smooth0.7 band0.4,1.1488364249805962,0.2021580314052911,0.009065307349177272,-0.24979965295541207,0.8092806703462258,-0.06036175082049233,-0.026264549490008525,74.94100598100074,0.02285700682420517,0.005285496083684064,-0.02508708306593506,151.7799295774648,0.9202422930902114,0.860266554945838,0.20464571245923863,1.632769382822085,1.1674758692859315,2.0102491041996426,0.06788506206887557,0.015684849845528204,0.28400713510754483,0.31886976048166127,0.28461426118083644
smooth0.3 band0.2,1.3017143946464835,0.2710746583090864,0.01043683157448101,-0.22947793540424366,1.181266759482998,-0.07629747247438301,-0.02756249921778714,201.12582274148127,0.06134337593615192,0.013906755783852944,-0.026550738824899268,135.91138497652582,1.053855998140937,0.8341956647873588,-0.05671588837442085,1.566072906007064,1.5905835663124281,2.2867891908322036,0.08125015606412855,-0.013164271705367603,0.3105634599100122,0.533296591648108,0.4270807031488586
trade_frac 0.5 band0.2 smooth0,1.3822801355842995,0.2599123657316005,0.009343732990006447,-0.17369845791883187,1.496342381788521,-0.06359874594253967,-0.0270815334262807,161.081046418509,0.049129719157645274,0.011167724898219041,-0.029501820505447876,116.09741784037558,0.8660759015182835,1.5033750959714878,-0.318768412266519,1.253808431637995,2.0213151243452065,2.1482014868387065,0.13385075097464694,-0.03808533859984331,0.21780646620215105,0.661602202288682,0.33059248507900807
ML top-100 universe,1.1793626964692192,0.22999851824845075,0.009988626941359659,-0.2560214251713121,0.8983565230769059,-0.06725187372092034,-0.028937188266946606,123.8951916326517,0.03778803344795876,0.00769664832022251,0.0033728446242341187,113.27406103286386,0.9167891742899286,0.43080145165192907,0.31474192662248174,1.179151114107031,1.3205931150496253,2.6035581530603333,0.0374259178866021,0.030444662479534257,0.20529547323873065,0.4077356929035565,0.4474018112124176
reb offset 12h (stale ML),1.2572023082716108,0.23600659363348475,0.009494164058368183,-0.2115672974824272,1.1155154663615818,-0.05169995346084877,-0.0243102913199149,70.73428882008221,0.021573958090125054,0.004314650864759859,-0.08784551154107978,87.12323943661971,0.6076586758208572,-0.4794976238639142,0.5958391296583767,1.136943419703244,2.3653409039357856,1.8636559340466643,-0.06928792976852771,0.0581723300094652,0.18425086637832577,0.7529938904207301,0.3135801355957992
VT0.6 lev3,1.0554823526743184,0.14535019138484784,0.007190908711310366,-0.1992197283511249,0.729597374006407,-0.05957627572709545,-0.021844221049641843,115.76807106369822,0.035309261674427925,0.00808103773694323,-0.00339903072185638,86.59917840375587,0.7880872575248782,0.8034373805710211,-0.3232025817452395,0.19889141225268736,1.5194421083609668,3.4722337199322095,0.08708174944652658,-0.045177672168584815,0.017389310243589806,0.2861351858047545,0.38626021404057975
VT0.5 lev2.5,0.7347232139265483,0.09218619580221277,0.006898989672168292,-0.29155850695329233,0.3161842075861528,-0.0871029234823032,-0.020519495558007365,92.47395201361603,0.028204555364152912,0.006342528717284978,-0.016760563030266625,71.96244131455398,0.5919610896917216,1.537590690964191,-0.3821993869494502,0.7506567754601164,-0.550692772767772,4.037688173868798,0.15756372735010404,-0.045260527657069116,0.08611227847234737,-0.11218914452656259,0.41558390694731906
VT0.6 lev3 smooth0.7 band0.4,1.0960936560908985,0.1463194421149041,0.006932088659077808,-0.1785578339950631,0.8194512557735126,-0.04628581335844373,-0.021047018740280986,77.01028794255167,0.02348813782247826,0.005425251671328214,-0.0062450672407420044,94.85269953051643,0.7844856518755916,1.0167882492508324,0.03344804939316361,0.6208512020006369,2.115000643060938,1.4370649975133822,0.10963914371842476,-0.0027886579844507153,0.07225675989645808,0.38787134622343444,0.14788717430595666
A2+C+D3+D7 VT0.6 lev3 gross<=2 stop30,0.5747079716539087,0.06970174629789239,0.0069259101899225295,-0.2985852513191962,0.2334400167339116,-0.03901133901518827,-0.022386337354052203,121.57913631527605,0.03592291409788493,0.008234491380274387,-0.022521569334184182,82.61619718309859,0.7877466042738025,-0.8847589239484918,-0.5455559164152823,0.12019368039344867,2.3866612124219997,1.398302828449916,-0.10228780721413222,-0.06463769947509168,0.007226402728029768,0.4124953066390902,0.146061736512906
