label,sharpe,cagr,dvol,mdd,calmar,worst,turnover,fees,slip,funding,npos,sh2021,sh2022,sh2023,sh2024,sh2025,sh2026,r2021,r2022,r2023,r2024,r2025,r2026
L0 age3-60d thr20M n15 hedge majors daily,0.5657099632868068,0.14090739489915283,0.03903224178150701,-0.9368252595046881,0.15040947425269358,-0.40990469281606456,125.36213295433897,0.06894917312488634,0.023911744085010535,0.2581549219558026,14.261730969760167,2.4602962573971094,0.7179343523829441,1.114051131239685,0.8809738059616444,0.07908742225214264,-0.084268445085262,0.6567496925469851,0.2397519453122532,0.6206607190109157,0.4597144115855103,-0.4760760953141444,-0.2153852049298679
L1 hedge BTC only,0.5050362289659206,0.13311559317970723,0.023717000918019728,-0.7774839212229014,0.17121330663548248,-0.21053090817361675,70.25568345723703,0.03864062590148038,0.013984768807963567,0.15518534633191505,10.381647549530761,1.3309581193509825,0.7852250556163619,1.1957132937237616,0.7763131964224486,-0.0593719128166339,-0.4588725871489789,0.26754430316804423,0.24007279298292805,0.4867558373544487,0.28336951087598083,-0.20835604728407264,-0.1884328598270083
L2 no hedge (net short),0.24632560137958512,-0.20214251212840062,0.049506232166800584,-0.9461267817279972,-0.21365266877400588,-0.4423367919695156,100.5652849842309,0.05531090674132699,0.02147430097001462,0.22514213511291403,9.40980187695516,0.6972303157901805,1.3142397695165113,0.14187053045924683,-0.25080042335572456,-0.009056594663040627,0.2816651583677795,0.1528317680143394,1.0428220603711713,-0.18258287483156332,-0.5409578406287849,-0.6306911748041306,-0.06335174162414525
L3 thr 10M,0.5709500064674866,0.1457135540784813,0.03901433467105222,-0.9344519643531874,0.1559347719103005,-0.4099046905267092,115.81253923901549,0.06369689658145845,0.024134636483779455,0.24974649694189785,15.370177267987486,1.5599635182221554,0.526553892477366,1.2392420356047447,0.9594058182656025,0.1781345820824226,-0.08818503306188542,0.3858287931719089,0.144712977767268,0.7722798009873386,0.5452388414461071,-0.40326610402348095,-0.2123314786171029
L4 thr 50M,0.5303900026357606,0.10888076634396526,0.0388864104067439,-0.9328012963682767,0.11672450140362353,-0.4099056578313339,129.16559382278987,0.07104107660253436,0.020361869400689455,0.2880269015232904,11.654327424400417,2.5810910696442377,0.652863658855745,0.7351835661816029,0.9477954707884241,0.2716268288230373,-0.2825990417988905,0.5381188895546714,0.20193775158380234,0.2899737581102635,0.5341503484021519,-0.3887501718665004,-0.23080418804277525
L5 n_max 30,0.6905204099770053,0.26337793325795666,0.03525529004420568,-0.8690782767776503,0.303054327777527,-0.22438549434676902,119.75920609682468,0.06586756335325372,0.024354008058047088,0.21506422934552094,16.658498435870698,2.4602962573971094,0.643384899103833,1.2636812149113694,0.8315562681010361,0.4051747370050345,-0.09627658622984388,0.6567496925469851,0.1855590081618026,0.7464771102003604,0.40108028034529886,-0.09856675211639077,-0.21267538912784623
L6 age 1-30d,0.44958771570088363,0.05887927835098328,0.03689450359517406,-0.9373614643199241,0.06281384559678653,-0.41493083510368434,97.61197275919756,0.05368658501755863,0.017695461102511256,0.21281864261719158,10.983315954118874,2.7834614913176186,0.7117326806629668,0.4065351839000174,0.8991296674213407,0.1420662391925142,-0.07449422260004751,0.538825541505062,0.1796800375160743,0.07267065787457416,0.47081091706916367,-0.4474643591638582,-0.14676544406153713
L7 age 3-90d,0.7211728654219046,0.27568589056275705,0.04113270527805323,-0.9280835297615229,0.2970485752899287,-0.40990469281604336,142.94848374432888,0.0786216660593809,0.02693708665815765,0.3174979714456836,16.330031282586027,1.6776303444694578,0.5006232892724108,1.4077065266546105,1.6257964530215223,0.06401073271228781,0.04802116849950712,0.5092741831343084,0.11451674820778535,0.9598113408094822,1.5432917021132435,-0.4934881709631874,-0.15484362150901
L8 age 7-60d,0.5508617208344219,0.13122347417654656,0.03774424957531125,-0.9280746344162011,0.14139323408800905,-0.42221487047839257,122.68039851638386,0.06747421918401116,0.023745517316233603,0.22129147654951872,13.673096976016684,2.684287632120599,0.6225489056486385,0.6148033371811223,0.5059450168295405,0.5493909369671696,-0.0986659881159095,0.6716514439063004,0.18445728696234376,0.20285252163023904,0.11059640333405207,-0.08992331071261539,-0.20652196231830633
L9 weekly rebalance,,-1.0,,-1.0044469244455445,-0.9955727621510991,-inf,28.17832626883381,0.015498079447858595,0.0048555469913299,0.05166204701970004,13.964757709251101,1.6485281606076272,0.504948459172386,0.5754474830010532,1.2048515104493642,0.03409769281222839,,0.4252386345023449,0.1242339280896525,0.14374581239591433,0.8272345077933843,-1.0,
