,listing,core,ml3n,ml7n,ml8,F,F1,F0,Fdyn,Fkill
2022-01-02 00:00:00+00:00,1.603439798869566e-05,-0.012462569588569394,0.003960491663064669,0.003345526833794965,0.01153930080799892,0.0031802565302869734,0.00018163530962844732,-0.004409902445500435,0.0031802565302869734,0.0031802565302869734
2022-01-03 00:00:00+00:00,-0.001305825344416256,0.016240973103152756,0.00376499924395457,0.0033225980014064405,0.0020388469026866307,0.004149122030786767,0.0041056568039887775,0.007726416336468311,0.004149122030786767,0.004149122030786767
2022-01-04 00:00:00+00:00,0.0008092258509859729,0.00562768226029986,-0.002158694740150735,0.001215150021138811,0.004338794418689673,0.001636398526611682,0.002257271729995347,0.00021199608023980687,0.001636398526611682,0.001636398526611682
2022-01-05 00:00:00+00:00,0.0021169287910731693,0.005935631851215151,0.007893418851310674,0.008729712737239659,0.0010614294234083665,0.007590698486854119,0.00984032047661021,0.006397313720432729,0.007590698486854119,0.007590698486854119
2022-01-06 00:00:00+00:00,-0.0015973853792479176,-0.0007745232303081329,0.002709991145320334,0.0029086922930423587,0.0029024652372060533,0.0016993087383372352,0.0008873042823225319,1.7108597620385524e-05,0.0016993087383372352,0.0016993087383372352
2022-01-07 00:00:00+00:00,0.0036251390420432017,-0.0011994524728329292,0.002813195511135236,0.000294381933742649,0.0033479027537224315,0.0017777586003262513,0.0028901382657842145,0.004782632038232926,0.0017777586003262513,0.0017777586003262513
2022-01-08 00:00:00+00:00,0.0042614920491534924,-0.009372013226730314,-0.0019196165054018444,0.0024363109244327497,0.00017823052536614092,0.0032319245289098575,0.0009157379489403983,-0.002507545793933308,0.0032319245289098575,0.0032319245289098575
2022-01-09 00:00:00+00:00,-0.0004346463602261652,0.002125442104228936,0.0023024419934096763,0.0006490276298383169,0.00036453168720740337,0.0017154655032500798,-5.5426204424668946e-05,2.834707218735133e-05,0.0017154655032500798,0.0017154655032500798
2022-01-10 00:00:00+00:00,0.0036762951238358266,8.556517369129324e-05,-0.0015864837380853425,0.003906717385226299,0.0006555582404215166,0.003970877168940623,0.004610159133354941,0.002613269005623753,0.003970877168940623,0.003970877168940623
2022-01-11 00:00:00+00:00,-0.003954436696108399,0.0029579789022633474,0.012913452669558678,0.012334352223170031,0.009707918422220407,0.010017620596543209,0.007359561517360946,0.006335840484166688,0.010017620596543209,0.010017620596543209
