,F,F1,F0,D
2022-01-02 00:00:00+00:00,0.0031802565302869734,0.00018163530962844732,-0.004409902445500435,-0.004208444189112259
2022-01-03 00:00:00+00:00,0.004149122030786767,0.0041056568039887775,0.007726416336468311,0.00770248147213759
2022-01-04 00:00:00+00:00,0.001636398526611682,0.002257271729995347,0.00021199608023980687,0.0010627698441709743
2022-01-05 00:00:00+00:00,0.007590698486854119,0.00984032047661021,0.006397313720432729,0.007952437897309483
2022-01-06 00:00:00+00:00,0.0016993087383372352,0.0008873042823225319,1.7108597620385524e-05,-0.00016704605956630036
2022-01-07 00:00:00+00:00,0.0017777586003262513,0.0028901382657842145,0.004782632038232926,0.0018251806760807288
2022-01-08 00:00:00+00:00,0.0032319245289098575,0.0009157379489403983,-0.002507545793933308,0.00011170203181021243
2022-01-09 00:00:00+00:00,0.0017154655032500798,-5.5426204424668946e-05,2.834707218735133e-05,-0.00015868268935492758
2022-01-10 00:00:00+00:00,0.003970877168940623,0.004610159133354941,0.002613269005623753,0.005296024395382348
2022-01-11 00:00:00+00:00,0.010017620596543209,0.007359561517360946,0.006335840484166688,0.004152742798671394
2022-01-12 00:00:00+00:00,0.00024253042052291285,-0.006505800208894907,-0.005032442386597835,-0.010394997254434046
2022-01-13 00:00:00+00:00,0.009699069247272929,0.011512887200313848,0.008855205145457345,0.013509762607447628
2022-01-14 00:00:00+00:00,-0.001096832198752784,-0.0019288096500719165,-0.0022738255205214664,5.2427192332560324e-05
2022-01-15 00:00:00+00:00,-0.00031503384921816036,-0.0026278223146737334,-0.004677347708386792,-0.0034316942261881644
2022-01-16 00:00:00+00:00,0.0026655321771471563,0.0021012708351522136,0.00314802623283561,0.0022716431670941617
2022-01-17 00:00:00+00:00,-0.0017521297841400774,0.0018160729020519906,0.007561345032091493,0.006743127062742715
2022-01-18 00:00:00+00:00,0.003071606106114011,-0.00024157687302361897,-0.003563758366564307,-0.0037308422811891395
2022-01-19 00:00:00+00:00,0.0034439893030120405,0.002899158315054162,0.0024144330357416255,0.002671929904425996
2022-01-20 00:00:00+00:00,0.002043550534121641,0.004901097623962958,0.0021208127315999192,0.004470953954272883
2022-01-21 00:00:00+00:00,0.010055132162544611,0.010587194589280147,0.007905343094143369,0.014960670214517746
2022-01-22 00:00:00+00:00,0.006035585136992205,0.0021386402237830726,-0.002886684909713333,0.001390062533673797
2022-01-23 00:00:00+00:00,0.0037538342108414113,0.00080313995815251,0.0021770503770701666,0.0011186535974638812
2022-01-24 00:00:00+00:00,-0.0019596352371574755,0.0013450422684511132,0.004543028519061076,0.002270008719763794
2022-01-25 00:00:00+00:00,0.002800500020725627,0.0015235459220983572,-0.0008082384476195692,0.000592801689433653
2022-01-26 00:00:00+00:00,0.001433352780543462,-0.002772385157220225,-0.0018061440250624061,-0.0008274996504186172
2022-01-27 00:00:00+00:00,-0.006189350628303503,-0.00569139362473059,-0.008035329099437938,-0.007063746373678348
2022-01-28 00:00:00+00:00,0.0037949149335989585,0.001133167067698615,0.00080848052999416,-0.00014859930827892942
2022-01-29 00:00:00+00:00,-0.0012394266371380525,-0.0014673809304641683,-0.0019023347843120098,-0.0045315402282619655
2022-01-30 00:00:00+00:00,0.010180067668282833,0.009786194442264584,0.009328680158151137,0.007962294700557981
2022-01-31 00:00:00+00:00,-0.004652474825822095,-0.0022036851265762047,0.00019236023349789022,-0.0005677531291544691
2022-02-01 00:00:00+00:00,-0.0028259046413317,-0.0035058659137479076,-0.005907967428087746,-0.007036558493090039
2022-02-02 00:00:00+00:00,0.0015849507663183715,0.0022593581975909327,0.004753783151272062,0.0033567015497457664
