label,sharpe,cagr,dvol,mdd,calmar,worst,p1,turnover,fees,slip,funding,npos,gross,stops,sh2022,sh2023,sh2024,sh2025,sh2026,r2022,r2023,r2024,r2025,r2026
A standalone,0.5733585733699964,0.10395836950469861,0.011081097019318534,-0.4221800728716194,0.24624177202714514,-0.10661672504988906,-0.035101270837721875,14.036938434828414,0.004281266222622667,0.0009794114235829432,0.05309800909974863,22.25176056338028,0.44272051986253896,0,0.02855949824336135,1.267033684665732,1.0814596504470324,0.43309090400133604,0.5861656554099597,-0.0060885661711720385,0.16093498214292112,0.18929181398135575,0.09407943702872346,0.05627414501110417
C standalone,1.0285252352834926,0.24702604557140173,0.012707546780588328,-0.3344331543884884,0.738641015674562,-0.05455849521011602,-0.028698136664021358,101.83808813107323,0.031060616879977358,0.006152102648552065,-0.14413872027978905,74.17957746478874,0.9230668757827788,0,-0.7627056070295414,-0.5494009994220208,0.7624335336701211,2.8691532349654953,1.71709117338954,-0.16408466500938612,-0.09258890300102818,0.1370918044640852,1.286690283368142,0.41924090506779277
D3q standalone,0.7646458489984694,0.17049828134396883,0.012837277588406928,-0.25248482172791176,0.6752813080083824,-0.09969491813177389,-0.042535183760922586,222.3358323458092,0.06781242886547179,0.015582769022735468,0.08688354526133803,136.90140845070422,1.351307174892836,0,1.6621300146576587,0.3121294626495934,1.1375138377482759,0.33581488023869566,1.0091401360075083,0.2931267354147902,0.03457773556524635,0.20518492949532918,0.057240376886604105,0.2222251221223448
D3r standalone,0.5654793187863365,0.11565732665203088,0.013009105559292893,-0.31852193194889944,0.36310631918269126,-0.12133382639067836,-0.04129916527577953,184.60552763841147,0.05630468592971527,0.012967401010585859,0.07872477451276431,142.2511737089202,1.256919438746496,0,1.385509753806316,0.5630751432462697,1.1642571384194143,0.07311855457267928,0.5433868814662737,0.23157539773328728,0.07131179240597563,0.20253193957526117,-0.03816303200472937,0.09154169106189891
D7q standalone,0.6281767196562352,0.1320004212325625,0.012844716381570113,-0.3066142603166464,0.4305097247131735,-0.08267925952763311,-0.041372176183637636,196.06457004001027,0.05979969386220312,0.014092044781396149,0.09541733452291977,132.5005868544601,1.3583817549690973,0,1.4340498007286286,-0.3502559855310688,1.3352421780159462,-0.1655490504616601,1.5496752163260379,0.2263564306236836,-0.06244186882238556,0.2688275875712791,-0.11063378346443198,0.37393056495089505
D7r standalone,0.6117573246766846,0.12573579445319183,0.01262923901689044,-0.31764064202009845,0.39584290365901315,-0.089071712321668,-0.04131677349043027,160.08030537015009,0.048824493137895955,0.011548999507549007,0.08475117994225367,138.55340375586854,1.2567520630896039,0,1.5730492262254854,-0.35787802204342173,0.7102351392469929,0.09958393821837479,1.4817314879608994,0.248871495996404,-0.061267560879939675,0.11835018469825398,-0.02363503046773152,0.3569881796632075
A standalone + stop30,0.7212282348153006,0.12296845683764013,0.009640526311157275,-0.29782296069208625,0.4128911220914356,-0.06483740972335605,-0.03219646199161999,19.63895241628603,0.005051557663249044,0.0010694801903840647,0.0306786244575462,22.065140845070424,0.4315108640051062,810,-0.2803948039373808,1.3626119113305821,0.9125458275642045,0.9809944299832376,0.6371218597731603,-0.042034251970365144,0.15290241891295908,0.1467401573072502,0.2799770226867382,0.0593318427267846
A+C+D3q,1.3645648485161848,0.32220141922278134,0.011654809754262058,-0.17912496655454146,1.7987521428283009,-0.07712441118762736,-0.030830651459161935,131.78340243819363,0.04019393774364896,0.008938582467917051,-0.03605667971141958,137.65903755868544,1.0773392184638266,0,-0.1055288082432791,0.5402324380719993,1.4378625967854985,2.1531857496756093,2.1296613934137425,-0.023916357783938746,0.0649781141908996,0.3292399588722552,0.938397477133236,0.3730408910464915
A+D3q,0.8330533661182046,0.20079584389274285,0.013632350182401118,-0.45146702930041904,0.44476302900596654,-0.11862475566842479,-0.04264247348353038,137.09326569380173,0.04181344603660948,0.009663637572960746,0.09458791400424077,137.5868544600939,1.137602939606295,0,1.121422377811648,0.9475867294812007,1.3888056195975496,0.427048473621961,1.0455178683026565,0.18319756380208596,0.15844318948122837,0.32323800318804263,0.09405279111569809,0.18282785073584829
A+C+D7q,1.3592306950380704,0.32126830190500155,0.011676695436296448,-0.19608165514867604,1.6384413933213853,-0.08092801096649938,-0.030842372579569514,125.73602076325521,0.038349486332792844,0.008565078821084397,-0.03147285972318556,136.33274647887325,1.075665766680704,0,-0.019914596929265102,0.4174034102445349,1.4780588035227342,2.0570821607332332,2.33524412027969,-0.013521376648547134,0.04802117160982222,0.35087609248936524,0.865472436945093,0.4069082351068716
