label,sharpe,cagr,dvol,mdd,calmar,worst,turnover,fees,slip,funding,sh2021,sh2022,sh2023,sh2024,sh2025,sh2026,r2021,r2022,r2023,r2024,r2025,r2026
volume shock 24h/30d,-1.4670520693423341,-0.35130138505767694,0.014097341454636503,-0.9223647974167958,-0.38087032989623243,-0.13771326923603877,254.5391779017684,0.13999654784597237,0.1272695889508841,0.20016221110653187,-2.255963953791391,-0.2561186098325392,-1.371664234003933,-2.059945187358471,-2.902555341869502,-0.15055286790394753,-0.27740519969787647,-0.07291443569540645,-0.1987853709197006,-0.35159273886807074,-0.6735340968704515,-0.09204183704140334
mom 720h skip24 EW reb 168h,0.6032125735703874,0.13542182501739575,0.01417392453494643,-0.29875563670517513,0.45328625781795556,-0.09956722597951517,41.57132326072998,0.02286422779340149,0.020785661630364983,-0.0994718460238439,1.8992184983840885,-1.1740066661702566,0.11218299530879677,0.5336609151153919,1.7612290484627133,0.0012217767502340916,0.2686623024837189,-0.18505590087953872,0.004831812014860493,0.10321671630956142,0.7936395417720068,-0.05261321878313463
funding carry 72h reb 8h,-0.6866841540686628,-0.18888657613725068,0.013429418873394086,-0.7271481673030635,-0.25976353152075304,-0.09487578911100036,304.91700553546815,0.16770435304450643,0.15245850276773365,-0.4970832752141894,0.16640958581495613,-0.8791930473937114,-0.7992689871024967,-1.0511522015614863,0.24481049216849524,-2.020240288467708,0.008092412342412425,-0.17869657413676177,-0.1017126230197326,-0.18756721868082582,0.023537671757097423,-0.46110046015163075
funding carry 72h rank-weights,0.10646270931455824,-0.010405839903403047,0.014990206116714836,-0.4837395735567408,-0.021511243757424855,-0.12380376954316508,288.1178091243426,0.158464795018389,0.1440589045621714,-0.4745552352684629,1.8199561283158825,-0.4347021789855749,0.03746693278272787,-0.03352608659526538,0.3094476804681315,-0.2746679772451242,0.2246393504490205,-0.11367202513149566,-0.0051883736789587465,-0.03356090832858727,0.043848351799739005,-0.131036613369097
funding carry 168h top30%,0.055771360795426925,-0.02467216980736542,0.014994994391307567,-0.4940843011031697,-0.04993514204426924,-0.1253488516685486,198.7522453730536,0.1093137349551795,0.0993761226865268,-0.46088048020995515,0.21584679597431125,-0.3337995289264914,-0.7602778321214917,1.1752725287207453,0.4882119362560722,-0.7128822224854253,0.013195495303966354,-0.09046195793091827,-0.11641137511806232,0.26447938959639417,0.12211731456474051,-0.24082273775366758
funding carry 168h top10%,-0.03375347366970103,-0.029200539933770586,0.01107751994599154,-0.37536755923766396,-0.07779185797324165,-0.12066215945687586,84.51209121342266,0.04648165016738242,0.04225604560671128,-0.3449962513686737,-1.3320800497646177,-0.4476147870791992,0.47761471174765946,0.13142590746532487,-0.1575472441976102,0.4165745631884542,-0.07841271384610049,-0.06388607276051439,0.04060934757551582,0.008720985083146005,-0.1060313277787519,0.05731300319388377
funding carry 168h invvol,-0.029119500415899037,-0.03659655749990276,0.012834882489740813,-0.47219565765611426,-0.07750295206876291,-0.12768406428722645,146.9600654422538,0.08082803599323946,0.07348003272112676,-0.4131253544333817,-0.5693488027623402,-0.8142745036557579,-0.5000596587336114,0.6338409807834,0.30876955492030717,-0.16127182718772948,-0.051171722587312174,-0.12230658171597364,-0.06570864077713057,0.1043242559033899,0.045722581535125206,-0.08485046625422143
funding carry 720h,0.28685561943375604,0.041394996453382626,0.013071619855382742,-0.4010843543564081,0.10320770655987956,-0.12165167305851043,114.32762981477705,0.06288019639812727,0.05716381490738846,-0.3956059433158241,1.857008757339398,-1.1713720784622377,0.40708429678253405,0.07810029517250203,1.3207602129934164,-0.6698104721546978,0.16799837967035658,-0.1527564139420714,0.04510904452390663,-0.002737318485604101,0.5185299342575405,-0.21003269838429328
funding carry 168h reb 168h,0.056334526832126156,-0.01692597950716912,0.012839578478482232,-0.5883782588737914,-0.028767173536968865,-0.19601730440232445,49.02052642129361,0.026961289531711476,0.02451026321064679,-0.2649548825600475,0.34132735902038897,-0.8006260874431291,0.7623740171072153,1.3754091985692496,-0.19566176183380182,-0.410679469130955,0.024267944781395823,-0.11615797388025595,0.0887937084734971,0.2438614373977963,-0.15496801158972395,-0.1175094101353612
funding carry 168h uni top50,0.31038631754482504,0.0429193359783977,0.010385979408704026,-0.2649003741343907,0.16202066892741704,-0.08818601235271206,89.33004594596004,0.04913152527027813,0.044665022972979966,-0.29950344934734,0.6730982015650553,-1.3757937513264786,0.33670701329460345,1.073310055778494,0.46139549548978226,0.6277192155910897,0.042971569621357286,-0.16277408000408644,0.029191331754980343,0.14299066344471068,0.09615871513373353,0.10728850402070722
