label,sharpe,cagr,mdd,turnover
smooth0.4 w8=1.5,1.8551524900335472,0.2775709118884149,-0.1647967804946816,239.20913001697946
smooth0.4 w8=2.0,0.9800268019411531,0.13024416901195046,-0.1820254651482377,266.37250442139117
smooth0.4 w8=2.5,1.302685256033271,0.18536797906133118,-0.1502573839706084,282.4754374185377
smooth0.5 w8=1.5,1.8254641253580486,0.27856672168666585,-0.15368725235558667,201.12075928152697
smooth0.5 w8=2.0,1.7756995827841633,0.27309895727955946,-0.1514071424167075,226.19617091275055
smooth0.5 w8=2.5,1.1786329831257465,0.1662590978527112,-0.17181710291479213,243.89092608467575
smooth0.6 w8=1.5,1.7068129786523445,0.26029803315687006,-0.15721919305090404,173.3014440402208
smooth0.6 w8=2.0,0.6449357836274742,0.0832888836309209,-0.20786335102917175,184.926425054782
smooth0.6 w8=2.5,0.8349653745339548,0.11040349100019964,-0.16504039253510716,200.99954135952555
smooth0.5 w8=2 band0.2,0.8486576320389071,0.11275530177197512,-0.1593817977559362,234.51571248176873
smooth0.5 w8=2 band0.4,1.7830402507511958,0.28439228380378867,-0.1938574926355272,215.77403545545286
smooth0.5 w8=2 VT0.5,0.9447864261346993,0.11502741409350659,-0.1637017946645557,178.54610489809
