label,sharpe,cagr,mdd,turnover,y2022,y2023,y2024,y2025,y2026
"E1 daily book, daily engine, smooth .5",1.542020038579828,0.23593218202624988,-0.11113861645011591,95.4691940058321,1.3265567780182623,0.4560684167876269,0.7922472806051651,2.861373614237171,2.180730698910816
"E2 daily book, 8h engine, smooth .5",0.7497198769739829,0.09454798353136051,-0.14386912029526622,136.99629218658134,1.4521973813004454,0.3682179592594249,0.37152765398819565,1.0181459066523457,0.4235181544460771
"E3 daily book, 8h engine, smooth .794",1.3305752186141169,0.18517098347375738,-0.172208763823946,93.03892427826536,0.8138899621103507,0.10933539629900309,0.3472389040412442,3.0295771595278707,1.940169437423061
"E5 daily book, 8h engine, no smoothing",0.5132388387787785,0.06193355720327243,-0.19992450643250304,162.16480103205464,1.880955143120269,0.6290841749112145,1.2563847048050052,-0.6571056130573895,-0.38894279182739555
"E6 daily book, 8h engine, smooth .5, band .6",1.4232437063483439,0.19047980281940213,-0.1441528986900955,125.44555236017175,1.8099733525284774,0.28493761260686074,0.5559106428566057,3.348131141781794,0.3984468306549107
"E7 daily book, 8h engine, smooth .794, band .6",0.8668307457401218,0.11056681236166255,-0.1787373724937793,78.64946623130325,0.5313931441528552,0.6350511966338588,0.44161830264986535,2.6284905365407583,-1.069282968867581
R5 w8=2 base,1.842385618241509,0.27890077729138807,-0.16283929768089078,237.16639503179238,2.1577715750999857,1.4928216770495888,0.8131024589526905,2.857869625710628,1.649456576001428
R5 w8=2 band0.2,1.2005395217541184,0.17042501748200323,-0.1762391081642246,243.69755480795905,2.020315881815093,1.4131914790387046,1.6108101169307363,0.06302426983828391,1.2141031588571045
V8 s8=0.4 w8=1.5,0.6063215720302421,0.07717608862552683,-0.2633295333461415,225.3444069656289,1.9623714383200659,1.2998094515060328,1.7799340959457783,-1.0773421994531476,-0.5433171278227611
V8 s8=0.4 w8=2.0,1.866538362027022,0.28545826956472475,-0.1628805768764947,246.1392426485445,2.3864277199903547,2.1473897557522457,0.5554658522494449,2.5921297676857415,1.519271111594645
V8 s8=0.4 w8=2.5,1.1466722714011846,0.15729225229093324,-0.20936763121641333,276.1714146554456,2.7221362218498113,2.4469776696405137,1.465308998202466,-0.854584191915618,0.5710322460419712
V8 s8=0.5 w8=1.5,1.5922833355144543,0.2362747075966911,-0.15712669586740613,194.1540679670823,2.2680737801255075,0.8042925596246101,0.40048568923250366,2.6552550903208,1.5602082159912263
V8 s8=0.5 w8=2.0,1.6742549025300546,0.24784892817604032,-0.15279331734542034,221.91698037659614,2.193500989559137,1.2154688038939385,0.06259942995583344,2.9981977721696884,1.6452229785361776
V8 s8=0.5 w8=2.5,1.0041484753920733,0.13699213163801693,-0.2204281743795029,244.30433210804193,2.5486282429363136,2.0313201549749227,1.6146865709876883,-0.881870549914674,0.12000172576970382
V8 s8=0.6 w8=1.5,1.6609338801874238,0.24869208462051362,-0.14712150855545902,171.3638597412268,1.8494985105373105,0.7926542394014098,0.47305728579523926,3.087306193176202,1.791491057374028
V8 s8=0.6 w8=2.0,0.804634494626707,0.10655433422769023,-0.2224192136336609,195.11526838254804,2.3866160456789807,0.9839650278514055,1.8069101207938094,-0.9773297939099629,0.305260143288117
V8 s8=0.6 w8=2.5,1.7821860873054318,0.26731907092583485,-0.14567611366703315,207.70095573013793,2.5425213257058403,1.2251254639889384,0.6215390165354335,2.6676481495231776,1.6986859499428812
V8 plain-ML8 s8=0.5 w8=1.5,0.4808772933256233,0.05880445521648703,-0.2489956044740549,186.49306612418047,2.2673731451405885,0.6144696804448343,1.2872480466949603,-1.141192390080966,-0.25499749853550013
V8 plain-ML8 s8=0.5 w8=2.0,0.6462658358485821,0.0826651871919668,-0.20251979978730916,213.76472526640768,2.7500414110331888,0.30363799247886825,1.3544811209857828,-0.8258359399338713,-0.19871694458112046
V8 plain-ML8 s8=0.5 w8=2.5,0.6161435271067306,0.07822728012318736,-0.21885928974542423,235.40597887819914,2.503798107007905,0.7130708504104528,1.1704113761486281,-0.7706811104157164,-0.4071989724106932
V8 daily-only drift (w8=0),0.05134585266767746,-0.0028203567732875134,-0.2781227008614715,96.51836198808428,0.7731746899556639,0.1715012786618733,0.4660451669662588,-0.748943134742299,-0.18337907308233584
