label,sharpe,cagr,mdd,worst_day,turnover,n_stops,y2022,y2023,y2024,y2025,y2026
R5 J0 none w8=1.5 base,1.699231540715576,0.2488949232033868,-0.17470377466330933,-0.050301891639193186,212.2926602738264,0,2.209339178696551,1.1304681281817286,0.12588573363966396,3.368138183943553,1.2944563806683722
R5 J0 none w8=1.5 band0.2,1.714652782804072,0.25250535930852047,-0.16827098416653452,-0.05024951693441748,223.30165911240192,0,2.1655861906260725,1.0659704965295813,-0.053232723144176576,3.2897055645549718,1.812962409159542
R5 J0 none w8=1.5 band0.4,1.727306857975334,0.25727687040705227,-0.17966981871720045,-0.06436583448685818,207.09133425491586,0,2.2100092755668053,1.7835907146128,0.42708558511933226,2.7178268935482848,1.2100718476129495
R5 J0 none w8=1.5 age120,0.824608558760601,0.11007085396697747,-0.20352299235500404,-0.05734915792723383,214.37857428328655,0,2.4130734749906098,1.0906082477955803,1.9746463408067263,-0.766046770573967,-0.19547637581838304
R5 J0 none w8=1.5 q8=0.35,1.7742958676267069,0.26111972084186963,-0.16930096230718916,-0.06419196758887435,210.3932215364861,0,2.4442583323537894,1.2778301827512426,0.47201778088757756,2.99897726142122,1.3760394801892966
R5 J0 none w8=1.5 smooth0.4,1.7642839451202104,0.2639583439136366,-0.19187351198909097,-0.05990748675734958,240.0114070673839,0,2.4014214789711397,1.821737946722447,-0.18666613036661733,2.949537995530369,1.5435268029047193
R5 J0 none w8=1.5 smooth0.6,1.981641533460966,0.2926677712918224,-0.15497063890400198,-0.046036457599054725,179.84323897984743,0,2.4323694217109377,1.3739008774824724,0.8599829328041664,3.4218987455116365,1.5439630568989346
R5 J0 none w8=2.0 base,1.842385618241509,0.27890077729138807,-0.16283929768089078,-0.058397118757595345,237.16639503179238,0,2.1577715750999857,1.4928216770495888,0.8131024589526905,2.857869625710628,1.649456576001428
R5 J0 none w8=2.0 band0.2,1.2005395217541184,0.17042501748200323,-0.1762391081642246,-0.058182907907479486,243.69755480795905,0,2.020315881815093,1.4131914790387046,1.6108101169307363,0.06302426983828391,1.2141031588571045
R5 J0 none w8=2.0 band0.4,1.1629993200634656,0.15820351123754217,-0.15363615666096642,-0.060352336418903585,228.3087573074417,0,2.362399490958672,2.306979904194581,1.0429440104441503,-0.05220061709331773,0.4799477366252754
R5 J0 none w8=2.0 age120,1.941915282018972,0.2960756209604427,-0.17243183499111758,-0.06629584522263021,231.54438545901237,0,2.5230415070442644,1.6677537712344086,0.7443472132869365,2.754745362699356,1.7847750284163348
R5 J0 none w8=2.0 q8=0.35,0.8125422805805366,0.10649922950181945,-0.16419060216236592,-0.05662061117648409,234.67877038124,0,2.273113663541257,1.3781698272003504,1.281222763521378,-0.25594210581360677,-0.4760680851130012
R5 J0 none w8=2.0 smooth0.4,1.4814896866227165,0.21618668696284504,-0.18422640314754402,-0.0556580199082326,274.2946501294264,0,2.717872808377644,1.4844891212729763,1.743471218562567,0.3497632498014097,1.442304186249116
R5 J0 none w8=2.0 smooth0.6,1.6628777854700454,0.24694635070857918,-0.16104747939189257,-0.06430751569028692,196.04325473708406,0,2.1364810275924286,1.2525035570880185,0.3145875259640165,2.8079381524445357,1.5063620289032222
R5 J1 capY0.5% w8=1.5 base,1.4308457145808997,0.1798369541362581,-0.13670790726961923,-0.04096599996663641,224.88061156849935,0,2.193749289293464,1.1134786649130304,0.8271788363454895,1.8252794888488026,1.177242111750858
