month,ic,ntrain
2022-01,0.10276400690233968,31028
2022-02,0.06289838496372671,34828
2022-03,0.038939698563196165,38359
2022-04,0.07730651204625091,41327
2022-05,0.12730737277159215,43805
2022-06,0.08460223669403857,46403
2022-07,0.033561924348168855,48898
2022-08,0.16470374125639534,51981
2022-09,0.08622724361813934,55906
2022-10,-0.0031393853673433664,59554
2022-11,0.08646448247359716,62780
2022-12,0.11215897100207474,66304
2023-01,-0.0043168377785933005,69392
2023-02,0.12032725013632199,72470
2023-03,0.07148676389859528,76210
2023-04,0.054092090153223166,80267
2023-05,0.03143743328653575,84015
2023-06,0.12138515761467719,87760
2023-07,0.039546676943405024,91296
2023-08,0.05407530002804658,95366
2023-09,0.05222290109632631,99172
2023-10,0.08814748032254567,102772
2023-11,0.07826983254213382,106326
2023-12,0.06545019219014356,110516
2024-01,0.05875128118332899,115055
2024-02,0.061742780573371604,119636
2024-03,0.11786014862309294,123505
2024-04,0.08691329618066551,128155
2024-05,0.0021053614089851075,132655
2024-06,0.10831260027685836,137275
2024-07,0.10940861914400656,141707
2024-08,0.11107944581407024,146024
2024-09,0.008069081376776824,150548
2024-10,0.028291566559981333,154688
2024-11,0.13432250115418407,159217
2024-12,0.07902521832511553,163577
2025-01,0.10041014046033005,168227
2025-02,0.034818307719136125,172876
2025-03,0.11464898937484111,177049
2025-04,-0.020372935281984434,181559
2025-05,0.11553108414815531,185960
2025-06,0.17035550326589016,190588
2025-07,0.12247249104185305,194997
2025-08,0.14672908127223502,199589
2025-09,0.12007926321347663,204220
2025-10,0.11603358738526094,208697
2025-11,0.09734596046165353,213344
2025-12,0.10777903735543566,217771
2026-01,0.17511976514206354,222156
2026-02,0.08714405349966026,226303
2026-03,0.11966889125223688,230244
2026-04,0.1504563214441239,234219
2026-05,0.11429486395430828,238124
2026-06,0.12477909780408436,242590
2026-07,0.1488548063797175,246642
2026-08,0.16184738897466008,250716
