,0
2022-01-01 00:00:00+00:00,10000.0
2022-01-01 01:00:00+00:00,10002.638279050247
2022-01-01 02:00:00+00:00,9998.243833050246
2022-01-01 03:00:00+00:00,9997.291458050247
2022-01-01 04:00:00+00:00,10004.588277050247
2022-01-01 05:00:00+00:00,10012.372894050248
2022-01-01 06:00:00+00:00,10009.533651050247
2022-01-01 07:00:00+00:00,10005.639984050247
2022-01-01 08:00:00+00:00,10007.400851531553
2022-01-01 09:00:00+00:00,10001.931774531553
2022-01-01 10:00:00+00:00,10010.535612531552
2022-01-01 11:00:00+00:00,10015.642763531552
2022-01-01 12:00:00+00:00,10019.380021531551
2022-01-01 13:00:00+00:00,10018.586672531552
2022-01-01 14:00:00+00:00,10020.003676531553
2022-01-01 15:00:00+00:00,10014.716352531552
2022-01-01 16:00:00+00:00,10013.141706769335
2022-01-01 17:00:00+00:00,10013.433221769334
2022-01-01 18:00:00+00:00,10018.267414769334
2022-01-01 19:00:00+00:00,10009.389202769335
2022-01-01 20:00:00+00:00,10002.047794769334
2022-01-01 21:00:00+00:00,9998.579131769335
2022-01-01 22:00:00+00:00,10001.747981769335
2022-01-01 23:00:00+00:00,10004.219177769335
2022-01-02 00:00:00+00:00,9990.688071930452
2022-01-02 01:00:00+00:00,9984.350095849837
2022-01-02 02:00:00+00:00,9991.534837849837
2022-01-02 03:00:00+00:00,9988.765849849837
2022-01-02 04:00:00+00:00,9987.119004849837
2022-01-02 05:00:00+00:00,9987.605005849837
2022-01-02 06:00:00+00:00,9981.359091849838
2022-01-02 07:00:00+00:00,9982.117628849837
2022-01-02 08:00:00+00:00,9978.065807557681
2022-01-02 09:00:00+00:00,9982.77726355768
2022-01-02 10:00:00+00:00,9974.211063557681
2022-01-02 11:00:00+00:00,9968.54719755768
2022-01-02 12:00:00+00:00,9971.19506655768
2022-01-02 13:00:00+00:00,9971.06173055768
2022-01-02 14:00:00+00:00,9980.14991955768
2022-01-02 15:00:00+00:00,9983.94845755768
2022-01-02 16:00:00+00:00,9968.061004392148
2022-01-02 17:00:00+00:00,9963.34697039215
2022-01-02 18:00:00+00:00,9965.374306392148
2022-01-02 19:00:00+00:00,9962.201846392149
2022-01-02 20:00:00+00:00,9961.592737392148
2022-01-02 21:00:00+00:00,9961.447956392149
2022-01-02 22:00:00+00:00,9969.580944392148
2022-01-02 23:00:00+00:00,9967.76296739215
2022-01-03 00:00:00+00:00,9963.330229948899
2022-01-03 01:00:00+00:00,9962.54744939849
2022-01-03 02:00:00+00:00,9960.43264739849
2022-01-03 03:00:00+00:00,9965.723748398488
2022-01-03 04:00:00+00:00,9969.197629398488
2022-01-03 05:00:00+00:00,9963.522546398488
2022-01-03 06:00:00+00:00,9963.941554398489
2022-01-03 07:00:00+00:00,9967.709532398489
2022-01-03 08:00:00+00:00,9971.987201386237
2022-01-03 09:00:00+00:00,9975.888434386237
2022-01-03 10:00:00+00:00,9990.179994386237
2022-01-03 11:00:00+00:00,9993.809119386236
2022-01-03 12:00:00+00:00,9993.371813386237
2022-01-03 13:00:00+00:00,9997.301784386236
2022-01-03 14:00:00+00:00,9991.023261386237
2022-01-03 15:00:00+00:00,9992.636735386237
2022-01-03 16:00:00+00:00,9994.479514459903
2022-01-03 17:00:00+00:00,10005.369149459902
2022-01-03 18:00:00+00:00,10008.647678459902
2022-01-03 19:00:00+00:00,10004.339315459902
2022-01-03 20:00:00+00:00,10002.539844459903
2022-01-03 21:00:00+00:00,9994.278225459902
2022-01-03 22:00:00+00:00,10004.871555459902
2022-01-03 23:00:00+00:00,10011.713372459903
2022-01-04 00:00:00+00:00,10021.897288120714
2022-01-04 01:00:00+00:00,10016.509323215427
2022-01-04 02:00:00+00:00,10008.541655215427
2022-01-04 03:00:00+00:00,10013.052418215428
2022-01-04 04:00:00+00:00,10023.500334215427
2022-01-04 05:00:00+00:00,10030.272318215426
2022-01-04 06:00:00+00:00,10019.827286215426
2022-01-04 07:00:00+00:00,10018.459651215428
2022-01-04 08:00:00+00:00,10024.120800094845
2022-01-04 09:00:00+00:00,10014.514795094845
2022-01-04 10:00:00+00:00,10014.763228094844
2022-01-04 11:00:00+00:00,10018.378873094844
2022-01-04 12:00:00+00:00,10041.986438094844
2022-01-04 13:00:00+00:00,10028.103472094845
2022-01-04 14:00:00+00:00,10015.983072094845
2022-01-04 15:00:00+00:00,10025.263661094845
2022-01-04 16:00:00+00:00,10011.122101701963
2022-01-04 17:00:00+00:00,9998.181446701963
2022-01-04 18:00:00+00:00,9998.831067701964
2022-01-04 19:00:00+00:00,10013.124701701963
2022-01-04 20:00:00+00:00,10020.387970701964
2022-01-04 21:00:00+00:00,10008.848719701964
2022-01-04 22:00:00+00:00,10012.499409701964
2022-01-04 23:00:00+00:00,10007.230340701964
2022-01-05 00:00:00+00:00,10015.674046965507
2022-01-05 01:00:00+00:00,10019.896871800811
2022-01-05 02:00:00+00:00,10008.79017780081
2022-01-05 03:00:00+00:00,10011.12966480081
2022-01-05 04:00:00+00:00,10005.26814580081
2022-01-05 05:00:00+00:00,10009.345123800811
2022-01-05 06:00:00+00:00,10002.04492080081
2022-01-05 07:00:00+00:00,10004.044218800811
2022-01-05 08:00:00+00:00,10004.053001053908
2022-01-05 09:00:00+00:00,9997.485210053908
2022-01-05 10:00:00+00:00,9996.700403053908
2022-01-05 11:00:00+00:00,10002.543753053907
2022-01-05 12:00:00+00:00,9990.979427053908
2022-01-05 13:00:00+00:00,9996.745191053908
2022-01-05 14:00:00+00:00,10003.001548053908
2022-01-05 15:00:00+00:00,10008.204259053908
2022-01-05 16:00:00+00:00,10008.894632719645
2022-01-05 17:00:00+00:00,10012.091862719644
2022-01-05 18:00:00+00:00,10015.483965719644
