label,sharpe,sel,conf,cagr,mdd,wd,turnover,cost
"R5 base (listing,core,ml3,ml7 + ml8 q.3) band .3 | cost x1.0",1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437
"R5 base (listing,core,ml3,ml7 + ml8 q.3) band .3 | cost x1.5",1.3745864783871196,1.0805771067755843,1.9234614976579683,0.18299985734036572,-0.12958574626191244,-0.03424036359792537,315.4473060887923,0.1762974099060851
"R5 base (listing,core,ml3,ml7 + ml8 q.3) band .3 | cost x2.0",0.9554475763399389,0.5521525975960725,1.7013042013720678,0.12091118876500717,-0.15333350405103963,-0.034776514741509224,316.5468630261909,0.23588472899538665
"R5 base (listing,core,ml3,ml7 + ml8 q.3) band .3 | cost maker50",1.5738538770683166,1.3178927933655564,2.0553968435511307,0.21373349767936412,-0.12379809691802557,-0.034112558348859956,316.4173513704854,0.15430176501292883
"K3  R5 + ml8 q.2, band .4 | cost x1.0",1.9839984740870549,1.8905356062400154,2.173650467800943,0.2799560750108625,-0.12697582259279816,-0.03193709202588979,303.7523708121636,0.11313436715818934
"K3  R5 + ml8 q.2, band .4 | cost x1.5",1.5619264804369029,1.3615855759714528,1.9430686603182032,0.21205930514914018,-0.1399650031262999,-0.031400146994052136,304.3690453388568,0.17003944132031276
"K3  R5 + ml8 q.2, band .4 | cost x2.0",1.137820999500902,0.8476439012709488,1.680828777301292,0.1480019466533995,-0.14946293687701617,-0.031496962841313536,303.72667099389884,0.22624120046577717
"K3  R5 + ml8 q.2, band .4 | cost maker50",1.7197296648061724,1.5700315973191261,2.0103661243760187,0.23718088110604785,-0.137233937175949,-0.03131942822200939,303.7246798446233,0.14803857087857475
"K7  R4 no listing, ml8 q.2, band .4 | cost x1.0",2.03974058266508,1.8932249264701841,2.3204781911837538,0.2884892364253382,-0.11235269715312934,-0.04230018361316068,366.179912489623,0.13600529461444574
"K7  R4 no listing, ml8 q.2, band .4 | cost x1.5",1.564025736806108,1.3438312011863798,1.970657340946879,0.21214190943064226,-0.1287493225864632,-0.04072095371714202,366.1469571543187,0.20399832465763384
"K7  R4 no listing, ml8 q.2, band .4 | cost x2.0",1.0359900441882555,0.6973211507914114,1.6456534386154995,0.13277880049654778,-0.2017615126605442,-0.03850342050457667,365.78734828143826,0.2717326823793337
"K7  R4 no listing, ml8 q.2, band .4 | cost maker50",1.766270248557453,1.58453457586955,2.1065198004491488,0.24365627482890062,-0.11842094680228488,-0.0376711007683731,366.43000622991576,0.17797463790283163
"K13 R4 no listing + beta0, ml8 q.2, band .4 | cost x1.0",2.2065863447648257,2.19994447213772,2.2444242910706405,0.31638804790853503,-0.10318335738957163,-0.046332676607810264,339.79277668891245,0.12586079255562696
"K13 R4 no listing + beta0, ml8 q.2, band .4 | cost x1.5",1.6348265567493958,1.503061526094225,1.8901926980579717,0.22364397127819302,-0.1340171183197728,-0.04586829548196025,340.426886521986,0.18915114450073522
