family,label,sharpe,sel,conf,cagr,mdd,wd,turnover,cost,npos
base,R5 baseline,1.8427111705987662,1.6569414330387502,2.1979185264032024,0.25624004458883,-0.11479073569252785,-0.03393636673918987,316.56513789090724,0.11794364326456437,137.06122848200312
simplify,"R4 = core+ml3+ml7+ml8 (1,1,1,2)",1.866442358013618,1.5415475844465265,2.456340911490546,0.2591766379467255,-0.1084785449999538,-0.04040784915289086,386.9954768925438,0.14383983428035696,134.7588028169014
simplify,R4 core 1.5,1.9484260440103782,1.4614819556022474,2.8180579474951655,0.26885302855724214,-0.13611924527366281,-0.04367771601561121,363.22839426715177,0.13515158889690854,135.0935054773083
simplify,R4 core 2,1.8808756175516737,1.2312046105901224,3.0460246141380876,0.25766904014067915,-0.1534601271601972,-0.03689537001067522,330.35539950958105,0.12303537416004894,132.94600938967136
simplify,"R3 = core+ml3+ml8 (1,1,2)",2.092963373499622,1.7282225293699625,2.732996187987047,0.29290707454798315,-0.1522656940434024,-0.044339677641701325,440.04884108415666,0.16328730383757073,135.1559076682316
simplify,"R3 = core+ml3+ml8 (1,1,1.5)",1.9882216790272573,1.5208896609324694,2.811953809838299,0.2755577568885832,-0.15816710329425832,-0.04368049630981252,394.55732513423425,0.14662854310629633,133.5735524256651
simplify,"R3b = core+blend+ml8 (1,2,2)",1.8616767132150105,1.510772162572859,2.4992227127814615,0.259169963095909,-0.12556430022333664,-0.04515006542393685,383.4544438337976,0.14253764676882458,132.46439749608763
simplify,"R3b = core+blend+ml8 (1,1,2)",2.0911358179010815,1.7113754420223999,2.7695958115776715,0.2936186395906346,-0.1456729924599951,-0.04141412614277318,436.10504052845994,0.1618600200560554,135.18564162754305
simplify,"R2 = core+ml8 (1,2)",1.8299463350635876,1.4254346089531733,2.6108938198196263,0.258713753200025,-0.20906120337208456,-0.03617130618180675,460.5320978863377,0.17062015773807318,118.03071205007825
simplify,"R2 = core+ml8 (1,1)",1.3906451665333528,0.6043251749167634,2.9255927416383836,0.1858950137788049,-0.22302525010098384,-0.02553330598236292,322.7782066981491,0.11988553380282528,108.08000782472614
simplify,R5 listing 0.5,1.9173597893228895,1.6513822740454214,2.4082721056059917,0.2679022483800293,-0.1162187691079627,-0.03488625388138489,351.933677168955,0.1309612852077206,139.46322378716744
simplify,R4 + ml8 w3,2.036918993020143,1.9378482141667976,2.2382912795735397,0.2836953952414656,-0.10034943804832697,-0.03651920143264864,441.05481238562703,0.1636488257577367,136.47026604068859
overlay,R4 step overlay thr +0.00 floor 0.5,1.6339467049498306,1.1950455082445655,2.4206174987922693,0.21997605262898356,-0.13089215186976644,-0.04438723840849512,370.1068512625415,0.13764903626954436,132.82844287949922
overlay,R4 step overlay thr +0.05 floor 0.5,1.7942732001026023,1.434597561948685,2.443169315153479,0.2476140445789512,-0.13290081330164383,-0.03851684096185137,379.26636963863893,0.14102651474001898,134.1482785602504
overlay,R4 step overlay thr +0.00 floor 0.25,1.2838721793266625,0.7745626268985205,2.214358137401075,0.16617285909799961,-0.14982276377491366,-0.03520962625381918,334.09958611062183,0.12428831200089127,127.13595461658842
overlay,R4 step overlay thr +0.10 floor 0.5,1.7281443264223966,1.3036027861750952,2.486530657448277,0.23779619436508814,-0.1366658171808115,-0.0378003224356247,383.2468158727157,0.14247676213490412,133.5514475743349
overlay,R4 linear overlay floor .5,1.7308281136100927,1.3078594672248267,2.485986584301053,0.23802374957865924,-0.14515452939103035,-0.03952471531448598,382.452836695882,0.14220203503231646,133.78618935837247
overlay,R5 step overlay thr 0 floor .5 (listing incl.),1.5529268177805966,1.224430423915409,2.1630107714637643,0.20947497748488786,-0.12811264738405215,-0.033897746288197195,312.36994174373484,0.1163781837156141,134.82276995305165
daily,DAILY baseline (listing+core+ml3+ml7),1.2026042322109134,0.7260334962582832,2.0677505044263382,0.1577299166775301,-0.16657224650003088,-0.03127685320713225,106.59315695972242,0.040047273006491975,124.52230046948357
daily,DAILY core+ml3+ml7,1.3965838582195391,0.7061408780696775,2.5567254408606876,0.18650262560351938,-0.14007760852959372,-0.048868236088789985,142.0390946925894,0.053216965093601,129.45892018779344
daily,"DAILY core+blend (1,1)",1.3954015547135945,0.3764616540876991,3.2127911585129585,0.18449520421442078,-0.1805276427389262,-0.028331086086315405,125.17358004012522,0.04673495986721272,121.64084507042253
daily,"DAILY core+blend (1,2)",1.3763276722222186,0.4756227929573842,2.9274498095648123,0.18418119433043922,-0.142666575571732,-0.04062489809806613,146.00350619988905,0.05465734082907515,125.52640845070422
daily,"DAILY core+ml3 (1,1)",1.182353816423752,0.14926747727929623,2.9772717431312743,0.15333595000403877,-0.18977746241870785,-0.026444948308106397,130.8327375697404,0.048806584950926164,119.12793427230046
