,F,F2,F2_nofund,F2d,F14,F14A,F14A5,FA1,FA2,K13,K14,R3b,D2,D
2022-01-02 00:00:00+00:00,0.0031802565302869734,0.0030074995722368936,0.0028405021144815024,0.003579537596116955,0.0034488789714608448,0.003005727548939463,0.003283099210577234,0.0030716288072976106,0.0021408364757984355,0.0037092148726560747,0.0024727671887396774,0.0039231707967464224,-0.0034824866965588175,-0.004208444189112259
2022-01-03 00:00:00+00:00,0.004149122030786767,0.002635167253975057,0.0025142228977668157,0.0018397282581750218,0.0038720816480526388,0.0031912406182645903,0.003098351887820927,0.002566953236561753,0.0023349155610685735,0.004385856499186547,0.004770157357992133,0.004938482828458657,0.0058043565197534175,0.00770248147213759
2022-01-04 00:00:00+00:00,0.001636398526611682,-0.001579854599672581,-0.0016989877656514718,-0.0005965303485150342,0.001865076499010243,0.0002755575450497094,0.0016045807393065825,0.0025612977426534567,-0.0008795593260856327,0.00037688244172362495,0.0019443378912953335,0.0006569937300164863,-0.0001369750284268001,0.0010627698441709743
2022-01-05 00:00:00+00:00,0.007590698486854119,0.0058346736682188816,0.005781598844482261,0.004543861465894805,0.004893869386209948,0.0028779119707442735,0.007537997688366493,0.007405494636670618,0.0037618682291473693,0.008116653452040712,0.01045445902780151,0.009681338415024277,0.005586373668690525,0.007952437897309483
2022-01-06 00:00:00+00:00,0.0016993087383372352,0.0024593742838772137,0.0022565699680161533,0.0029588793623971377,0.0019444270356570037,0.0015722910443898286,0.0011212748513842463,0.0031739070035639028,0.0025111650743012692,0.004645422316222447,0.0032268351341195878,0.003950992994883551,0.001745473958191912,-0.00016704605956630036
2022-01-07 00:00:00+00:00,0.0017777586003262513,0.00211705954994712,0.0019000924049730195,0.001614790092067775,-0.0007609861581477917,0.0008540417464986128,0.0005000695544514766,0.0018404242086524913,0.0009190798986653537,-0.00024166705117389942,-0.0002100775213415007,0.002421267988094833,0.00013256715860143764,0.0018251806760807288
2022-01-08 00:00:00+00:00,0.0032319245289098575,0.003924796080520432,0.003677568189241587,0.005366477559528349,0.002344253935008478,0.0029292292552756116,0.0027784676684612375,0.001907698978092398,0.0034683658310257215,0.0005571379467594895,-0.000973312007589211,0.00014673800625875089,0.002850405295115266,0.00011170203181021243
2022-01-09 00:00:00+00:00,0.0017154655032500798,0.00027597439349613673,-0.00016339387192643162,-0.0002959533431183825,0.0004151731311372586,-0.00036691278711054043,-0.0004852330393179116,0.0007819111255789046,-0.00021212377826340667,0.00182726330586358,0.002269069200114826,0.003069935601271112,-0.0015479172380030715,-0.00015868268935492758
2022-01-10 00:00:00+00:00,0.003970877168940623,0.003199729805418272,0.002909858900826512,0.0019580119155293563,0.004243080525940801,0.0031992085560621497,0.0042764716027152705,0.001573211820512066,0.00525067899747067,0.002687177538975849,0.005508064268426205,0.0025123202164356595,0.004718884953615721,0.005296024395382348
2022-01-11 00:00:00+00:00,0.010017620596543209,0.01385126388783009,0.013321091431911736,0.010809853905395572,0.010702615814507821,0.013052847361711306,0.011802908231300702,0.01548076757766026,0.010167721869211332,0.014920573900359946,0.013662283697654543,0.015228325054739145,0.0045155753756997985,0.004152742798671394
