label,sharpe,cagr,dvol,mdd,calmar,worst,p1,turnover,fees,slip,funding,npos,gross,stops,sh2022,sh2023,sh2024,sh2025,sh2026,r2022,r2023,r2024,r2025,r2026
ref(A0 binance-clock 3-60d)+C+D3+D7,1.3802882887090993,0.3019916801166209,0.01080816326012737,-0.192121899618101,1.5718753517690758,-0.06688428262651058,-0.030240780213611037,136.1203737305565,0.04151671398781979,0.00955580981629397,-0.0002546285037236116,143.62910798122067,1.0798167749302119,0,0.7097084776908995,0.5908008373586203,1.6234411723099074,1.611033110336247,2.3563612768138906,0.07574749456398178,0.06860156840777631,0.3498835471765236,0.578643238260447,0.39720840751634534
A(two-clock 7-90d)+C+D3+D7,1.1699630022323808,0.2520336919689121,0.011046148796830867,-0.22816838270216278,1.1045951585382736,-0.07404853522124877,-0.03021028286044478,134.04499512804784,0.04088372351405465,0.009444537740904565,0.007749917532280802,139.61854460093898,1.0742993550632078,0,0.3296012663967293,0.4540550975824472,1.554172823365742,1.3633209587387676,2.0694609741001595,0.03681027978757068,0.04700515211963108,0.3292292075465524,0.46926533902078416,0.3452168472393915
A+C+D3+D7 + BTC beta hedge,1.256111965711073,0.28128061889916345,0.011291660023946487,-0.242508821549703,1.1598778796656524,-0.07743492322581125,-0.03169289917400153,130.21372760707814,0.039715186920158865,0.009045700047893289,0.005169475844353097,140.2218309859155,1.0810004076066748,0,0.555874926322703,0.7157213954235692,1.5890811573445096,1.4353096622284653,2.0483711938278057,0.07626099682087695,0.08326474391977268,0.3626188370881387,0.5063790540683986,0.32720169390531373
VT0.6 lev3 g<=2,1.542020038579828,0.23593218202624988,0.007533333713275458,-0.11113861645011591,2.122864108257843,-0.037702047378860404,-0.022297461492332978,95.4691940058321,0.02911810417177877,0.006507108434859158,-0.0010210855744614558,80.12265258215963,0.6939021979418152,0,1.3265567780182623,0.4560684167876269,0.7922472806051651,2.861373614237171,2.180730698910816,0.16791803754165602,0.049245291763735155,0.11688049560120795,0.5805596509569033,0.24114788014711763
VT0.6 lev3 g<=2 stopS30,0.9474943072308335,0.13006766473231202,0.007280210687358079,-0.1371340269416872,0.9484711175232162,-0.03908312966480365,-0.02156276807619479,101.61711054879629,0.030050960735687197,0.006739632475966898,-0.014728294989536279,78.86913145539906,0.7105552234449157,1362,0.8968973151042055,-0.07426766857649494,0.5024210550912189,1.9631640164133242,1.357348141728508,0.10168996995189605,-0.016028039822333473,0.06687802940256526,0.3473839415345856,0.13489168520141348
VT0.6 lev3 g<=2 stopS40,1.130089224859725,0.16610447390965533,0.007595688339251596,-0.12706718993605925,1.3072176435633946,-0.0480313468614485,-0.023242070116149774,99.6906194425205,0.029834459492946077,0.006694099214850495,-0.00747328956740343,78.21068075117371,0.7077022570659107,781,0.9586483798147631,0.21290465763809555,0.6998102535330798,2.1956966836775567,1.458641237412875,0.11097487818653917,0.019087877367254702,0.10233606175569698,0.41207398558445574,0.1616627681124858
VT0.6 lev3 g<=2 stopS30 + beta hedge,1.2008873743540582,0.1739069198834413,0.007416976086630409,-0.14507603582148176,1.1987294641735795,-0.037626051201447464,-0.022583754804677975,96.30184706449118,0.028530547666509202,0.006344111386199229,-0.014767558993826703,77.86619718309859,0.6758041388793948,1344,0.957830463217606,0.28436804541145533,0.8734650402314584,1.975796783907809,1.9380106975478844,0.11164347143800257,0.027358130977430006,0.13422387878434083,0.34358551715148433,0.21344371989639033
VT0.6 lev3 g<=2 stopS30 dstop2.5,0.9867548937691153,0.13444614108076225,0.007181421303697736,-0.14508497978191992,0.9266716675715102,-0.03129261197957023,-0.02195681231785812,107.64267788650788,0.030367851333451643,0.0067594691443092795,-0.01492746699584107,78.60129183793306,0.6986776918506404,1313,0.9246881476962531,-0.11834053980108465,0.46067816637419506,2.17322162043331,1.4331083531772597,0.10537475964949294,-0.021402005063914986,0.05944626396572428,0.3733316659876704,0.1441024051421207
VT0.6 lev3 g<=2 stopS30 smooth0.7 band0.4,0.7925124558284709,0.1051235305447753,0.007222272695152584,-0.18443593333363872,0.5699731504307083,-0.05125327035625493,-0.022683720702444402,69.6307092393968,0.020296858800290165,0.0045115738250094415,-0.01728562113455689,81.89025821596245,0.6882652101120613,1424,0.3627353176702796,-0.41133875308556495,0.7244672062604983,1.6363737913042202,1.5487905856800253,0.035544195288941705,-0.053932543705005664,0.10381595510690755,0.2840994698413948,0.1476765305386032
VT0.55 lev3 g<=2 stopS30,1.0484292733367528,0.1367468493999806,0.006813841394720392,-0.14075277526898033,0.9715392692408117,-0.045571340600457866,-0.02113717101065285,96.8471978806043,0.028653325079934296,0.006455618534268121,-0.01036011689798189,77.1443661971831,0.6660746578427549,1359,0.8120818518627843,0.4120153708940638,1.0020968016032594,1.4101679280292914,1.6175804084249177,0.08313439537771683,0.04117929886025706,0.14009884756121704,0.20955606706059648,0.16885120289284195
