label,sharpe,cagr,dvol,mdd,calmar,worst,turnover,fees,slip,funding,npos,sh2021,sh2022,sh2023,sh2024,sh2025,sh2026,r2021,r2022,r2023,r2024,r2025,r2026
M0 mom720 weekly EW taker,0.6522992407161485,0.11869454468720253,0.010641472403567165,-0.22492115360579834,0.5277162341409333,-0.0745859639127161,31.034335475104207,0.017068884511307343,0.005989322040758022,-0.07594541393246194,39.81021897810219,1.9657027792775308,-1.1195085019953273,0.1801861492752908,0.5857973879994215,1.7918282664748755,0.059844658867670875,0.20677955440553264,-0.13430326372103008,0.01482576793027457,0.09183042689926446,0.5854164559363351,-0.018304728769891532
M1 mom720 weekly maker70%,0.7059965694536979,0.1308833399248852,0.0106321007597761,-0.21556276082202774,0.6071704538325813,-0.0745607621231239,31.040000140052207,0.009467200042715932,0.0017971942644903018,-0.07573555855953441,39.81021897810219,2.0285143225201563,-1.035382286614892,0.26024225482742736,0.6449850218167533,1.8394973966750605,0.09537988854031758,0.21417173933815192,-0.12550466118639436,0.024991672400772824,0.10317613453751329,0.6063551919906367,-0.011180958070144631
M2 mom720 daily band30 smooth0.5 taker,0.07929813148637761,-0.012184399032968862,0.013283424969213605,-0.3745537144445621,-0.03253044498172194,-0.12488175388386846,76.11700812673344,0.041864354469703255,0.016119942153238094,-0.08612572143113945,287.0453597497393,1.096916843018676,-1.3650695519379366,-0.10263809471872723,0.1052962207805022,0.7008774396786309,-0.16524658217165367,0.1378083944564128,-0.21348509734806276,-0.02804681549504806,-0.0006598707591548569,0.18953689492102477,-0.09313238431670401
M3 mom720 daily band30 smooth0.5 maker70%,0.20255984221027562,0.019332276833345707,0.013196328262391673,-0.3524332162176006,0.054853730831533686,-0.12472534958507364,76.22302310982192,0.0232480220484957,0.004844961061520918,-0.08599896487511954,285.56465067778936,1.216095317888467,-1.2036714124772268,0.08572365246798824,0.18913516734536767,0.8032207247054891,-0.0038959214437756036,0.15546350823058064,-0.19261942454085146,0.0011599908410417914,0.017880670305540747,0.22756810943608863,-0.052532029427981186
M4 mom720 weekly maker70% uni-hysteresis,0.5746697932457531,0.11032388851541675,0.011838529071197066,-0.29036854608860707,0.3799443487305496,-0.0786875912017907,34.09336194917517,0.010398475394498426,0.00206771017851816,-0.08050503339424195,47.846715328467155,0.9670792804741908,-0.7179858127785032,0.1734092923783524,0.6965861335350844,1.885003242548859,-0.014688999266016349,0.10214173893754341,-0.14409129416717137,0.014480800473468447,0.12399194871815333,0.6704325962348403,-0.0360822825828655
M5 mom720 weekly maker70% beta-hedged,0.7436628267544303,0.31144114582382776,0.03327136613446033,-0.5270290158269594,0.590937378930094,-0.25400813478689266,102.43214212119494,0.031241803346964452,0.005788570179283258,-0.1546783884028056,40.565693430656935,2.21688582001947,-0.7207627055484848,0.3332462573327253,0.5772186546185245,1.8052733852668275,0.10828347693361955,0.881146992549577,-0.3309043438431635,0.0546425431496802,0.18387403258481272,2.2535876686475813,-0.18844930779963498
C0 core336 daily taker,0.5522561933764526,0.09132476567838888,0.009986313018353241,-0.4501566690564882,0.20287329224051912,-0.042533603605299786,128.66689259206544,0.07076679092563586,0.02487146215927608,-0.1062727367705553,39.681960375391036,0.08548775634453352,-1.1724588766784894,-0.9547269452917032,0.0021588072195078438,2.806526259713552,1.0139533912738763,-0.0002815473483066544,-0.18606739842170206,-0.11582728958219635,-0.012005705631974228,0.9018668014575792,0.17020597999639864
C1 core336 daily band30 smooth0.5 maker70%,1.021942356615224,0.2346171830508672,0.012152695068719776,-0.39023942275161816,0.6012134314758462,-0.05242572186828931,94.06388634080464,0.02868948533394539,0.005702625562696871,-0.12519282005941795,288.1204379562044,0.7441372626011289,-0.84607508104832,-0.5953376560524346,0.7570711230224253,2.9888528817419484,1.7653051979696697,0.08822194872315592,-0.1676061986056282,-0.09416835321868511,0.13831832639359343,1.3089985918178297,0.4015948631313617
C2 core336 reb 48h band30 maker70%,0.8252363922340676,0.16236367039075916,0.010883260052454321,-0.3218671112344843,0.5044431823543225,-0.05536425841742365,83.94484270633163,0.025603177025431155,0.004911071982946928,-0.09992810582324246,39.691345151199165,1.250444797223859,-0.8886696953890406,-0.057805882473875046,0.4912586104260457,2.603169751817144,0.5589767664572989,0.132820922337737,-0.15891608213467645,-0.01449854117489735,0.06892646956845261,1.0305498291765014,0.08075106152294742
"B0 blend(mom,core,0.5carry) rank daily taker",0.2881549547901159,0.0423683685916052,0.013838819154522371,-0.597773505488265,0.07087695946999441,-0.08627441938054026,179.6002122104825,0.09878011671576545,0.03800056730491276,-0.22985227547870785,98.49165797705943,0.5210745689533139,-1.4568373204275857,-1.6389862189955862,0.5105869235430801,2.184831159423744,0.29311166572786673,0.058824965047017175,-0.2845738065076219,-0.2502341603719186,0.09283698576849098,0.9521441359621885,0.026128495727333556
B1 blend rank daily band30 smooth0.5 maker70%,0.7283053993995966,0.16881883916536378,0.013619258861205524,-0.4751694998496785,0.3552813024899302,-0.07695368717142748,103.50616678312085,0.03156938086885181,0.006733912530826868,-0.21847612675108208,297.4249217935349,1.0513487106907644,-1.350098518673338,-0.8048840437937366,1.034199626846443,2.4812172177908307,0.9582133095881779,0.1451423605285147,-0.2577180863097823,-0.14333550318555843,0.23263877421761614,1.0816093471744592,0.21365234816601952
