symbol,date,turnover_usd,n_trades,med_trade_usd,vwap,eff_spread_med_bps,eff_spread_p75_bps,cross_spread_med_bps,n_pairs,tick_bps,roll_bps,hourly_turnover_med,hourly_turnover_min
BTCUSDT,2026-08-12,3282085401.180199,1123050,64.2311,63781.66749158066,0.01569100026965687,0.0157567411275437,0.015690040120345868,57416,0.01567848630043187,1.3728661274278524,80318034.2308,43810421.3852
BTCUSDT,2026-05-20,3451912931.0746984,1451738,77.5873,77300.67759547931,0.012931784191616273,0.012978779047618377,0.012929518608915778,65964,0.012936497208287994,0.7792421909083883,111557739.6309,36274793.9336
ETHUSDT,2026-08-12,1751075958.732299,1439263,19.0807,1897.050504479033,0.05285132921088159,0.05306024991372884,0.052886547777659165,53157,0.05271340945525907,0.8512121317191074,47694483.8795,16457163.7811
ETHUSDT,2026-05-20,1760113140.4990003,1495675,21.3524,2128.545071637445,0.04693844023452103,0.04716291485781928,0.046958057062320535,46586,0.04698044750384704,0.0,55207497.649900004,21581591.7988
SOLUSDT,2026-08-12,392210553.7239999,240201,84.403,76.21285279125753,1.310787783456666,1.3196093956195718,1.312680493568537,17413,1.3121146412640279,1.2081727116896934,8829322.5495,4877280.7530000005
SOLUSDT,2026-05-20,638890051.715,424488,51.66,85.46649079679182,1.1638733705778765,1.1778563015301418,1.1691804045370182,28536,1.1700492095512922,1.382523496245044,15069896.438499998,3835938.228
XRPUSDT,2026-08-12,164425934.12896997,210759,12.87145,1.0147468376789106,0.980776775205855,0.9886307464161046,0.9824147755181155,14874,0.9854674711647764,1.781541041590545,4626912.916095,2595618.98141
XRPUSDT,2026-05-20,252388696.84813,334654,5.62438,1.3666445045271343,0.7298737318443106,0.7325336515015024,0.730994152046703,22582,0.7317191827774515,0.0,7464731.798545,4358314.4781
DOGEUSDT,2026-08-12,122862650.2775,271054,11.00736,0.07065659157082722,1.4072614691804282,1.4357501794682157,1.4162299957507607,11959,1.4152961213777164,0.0,2988521.6509950003,699655.53917
DOGEUSDT,2026-05-20,114199782.15458003,322364,5.133,0.10354122270090226,0.9591406100143871,0.9654373431173973,0.9632983334935096,18071,0.9657989097620521,2.0002458137402286,3638011.3682399997,1492098.08731
BNBUSDT,2026-08-12,30886330.826,66745,42.87500000000001,613.3866605420013,1.6283992835046854,1.6358580075234592,1.6315875346716062,3303,1.6302930342754267,1.344730546223298,1096762.5315,293328.649
BNBUSDT,2026-05-20,17909491.866,55376,13.006,644.8623738233898,1.5379883112874353,1.5513496742169213,1.5503875968995773,2269,1.5507184797743576,0.9599919375691761,638948.071,299753.798
ADAUSDT,2026-08-12,48929588.067899995,84545,40.046400000000006,0.18429919272055373,5.422993492408716,5.476451259583186,5.455537370431901,4143,5.425959740996555,4.8289182461471665,1460022.94655,508001.5207
ADAUSDT,2026-05-20,40554898.207399994,103636,99.9037,0.24936018220758274,3.998400639743662,4.017677782241422,4.011231448054112,2967,4.01026335137752,3.0971490733475706,1428279.78295,319876.9696
AVAXUSDT,2026-08-12,26942140.2523,175854,15.1464,6.348294644517261,1.5532774153468996,1.5825288811526095,1.5760441292361451,7205,1.5752261922232944,0.0,696067.04165,194215.4128
AVAXUSDT,2026-05-20,19906135.7439,124266,8.3898,9.254732589472885,0.0,1.0785159620356404,1.0801468999797172,5418,1.08052824901384,1.5584948540048618,661990.2816,204789.4849
LINKUSDT,2026-08-12,36115930.8981,164359,11.5232,8.76621116184317,1.1322463768109665,1.1431184270704415,1.1410314924705867,7742,1.1407436822331658,1.9951073542909348,974799.4366,477677.3761
LINKUSDT,2026-05-20,38876439.848900005,164715,7.5688,9.565303704773719,0.0,1.0437323870172446,1.0438413361163317,6179,1.0454451116908914,0.0,1278398.4707499999,362505.0632
LTCUSDT,2026-08-12,9511523.938000001,36278,49.30200000000001,45.14369597863066,2.1958717610887155,2.2217285047762743,2.2207417277366224,1604,2.2151487119556266,1.7029067793490378,272236.96900000004,94050.587
LTCUSDT,2026-05-20,36101489.415,93645,48.789,53.960853860156874,1.8446781036705422,1.8590816136824708,1.8542555164097925,3081,1.8531952859592755,0.0,666372.423,201990.866
DOTUSDT,2026-08-12,7491336.92395,69046,12.01864,0.784983940350149,1.2627857052670792,1.2918227619169227,1.2810658467843838,2492,1.2739114121924981,0.0,232616.82971999998,84614.29145
DOTUSDT,2026-05-20,16466758.981049998,151067,6.64885,1.2413655704402158,0.0,0.8036001285759321,0.8043758043757158,4502,0.8055644717496617,1.4845199538395573,623585.3121,280248.10421
SUIUSDT,2026-08-12,22965587.375,93581,13.918,0.6884030618989366,1.4442518775272817,1.4575134819995479,1.452643811737202,4120,1.4526373506262793,0.9886120854136815,688880.3585,249285.71300000002
SUIUSDT,2026-05-20,77314894.43199998,338748,10.775,1.0582186593843856,0.0,0.949307005885599,0.9494872768703855,18100,0.9449842819645949,0.0,2314647.1404999997,1000763.018
NEARUSDT,2026-08-12,39878720.52074999,127788,18.0271,1.644068574484354,6.067961165047875,6.123698714023956,6.086427267193487,5117,0.6082471348943155,9.720290088826422,1596862.85589,744023.106
NEARUSDT,2026-05-20,68596964.05214003,682353,5.5862,1.6651507028236148,0.5924521594880561,0.6110228522546071,0.6028454304315709,26589,0.6005462438349746,8.43246714703455,2557112.178525,608292.69651
APTUSDT,2026-08-12,6757805.723889001,65566,13.282627999999999,0.5681916991281221,1.7537706068044365,1.7869907076481235,1.7686593562077995,1875,1.7599693933127998,2.084295717063808,235640.1755145,90632.968064
APTUSDT,2026-05-20,7599472.691905001,117069,5.056285,0.9445962380876829,0.0,1.059546514091852,1.0597710894445633,4541,1.058653379802116,2.520201339630783,320972.65708200005,109839.181912
ARBUSDT,2026-08-12,13746999.393401,109784,10.713812999999998,0.07727020049276255,1.3089005235606104,2.596053997923952,1.3462574044152025,5040,1.294159965449134,0.0,309516.5317085,107700.44885
ARBUSDT,2026-05-20,21776741.737482,209152,5.50662,0.11242000478018607,0.880436696601173,0.894054537327671,0.8926180487365993,7665,0.8895213996431545,0.0,780764.638721,485545.803319
OPUSDT,2026-08-12,8742729.965821,101313,7.49385,0.08905054976821143,1.129433024621202,2.286498317597759,1.170960187354801,3166,1.1229576938070567,2.5216325831356574,244366.401107,93748.489562
OPUSDT,2026-05-20,10397365.621710999,185091,5.047534,0.12750749218703458,0.78021377857611,0.795608242502188,0.7880841673898653,10625,0.784267640156684,0.0,388606.8304095,142443.00546000001
FILUSDT,2026-08-12,4045323.9118700004,41381,10.9392,0.687646409466819,1.491201908738279,2.933841865923104,1.5010507355146951,2463,1.454235761625311,3.6306809419205663,99989.520535,25457.62698
FILUSDT,2026-05-20,4475998.35641,55110,23.19601,0.9586267089968906,1.034233116144265,1.058537101725299,1.0509721492379294,2581,1.0431589174542115,2.628988630830112,158181.967735,69866.57966
ATOMUSDT,2026-08-12,3078221.8588,17972,33.782250000000005,1.4156651414181118,7.0175438596499085,7.117437722420725,7.092198581559503,513,0.7063817358659842,5.023037105962906,129503.27924999999,25697.415399999998
ATOMUSDT,2026-05-20,7167791.84725,155848,5.2195,2.0063339201591943,0.49756194646117496,0.5008263634997195,0.49960031974525904,4250,0.49842151894552206,2.1508782732476224,281371.77092499996,117750.40073000001
UNIUSDT,2026-08-12,31673426.2761,177664,21.0,3.568553852575699,2.796420581655173,2.8481913984616627,2.835270768358066,10953,2.8022555951568817,6.093055142164613,730298.4730499999,306082.8116
UNIUSDT,2026-05-20,13810736.9225,99892,9.5985,3.5830777136648932,2.744237102085318,2.7808676307004725,2.779321845470634,4376,2.790896765052455,0.0,433461.40675,91730.4324
INJUSDT,2026-08-12,7057366.244500001,66059,20.064,4.600328495101853,2.152389151959393,2.1872265966761457,2.176752285588693,2231,2.1737578111306277,2.2937364102208804,259180.19805,91866.4976
INJUSDT,2026-05-20,33353722.96309999,260994,7.8496,4.997061870279425,1.9312475859411626,2.000800320126942,1.9992003198727188,14667,2.0011759429016793,0.0,1087056.6952,578988.7425
TIAUSDT,2026-08-12,4747754.394599999,34854,36.607240000000004,0.3062370415120042,3.2456994482307366,3.3233632436021594,3.292723081988442,1567,3.26544429459782,3.771607383923885,168887.692065,62409.37996
TIAUSDT,2026-05-20,11534153.17077,92001,20.8364,0.4054883454909024,2.40905805829894,2.4968789013733548,2.478929102627392,5100,2.466162125545791,3.7699388521194486,310029.70758000005,103547.37311
SEIUSDT,2026-08-12,3617495.75726,28272,24.525835,0.04004609282749448,2.4773938197547536,2.503755633450507,2.501876407306245,826,2.4971225140671938,2.2303084285160724,126027.27368,49235.95846
SEIUSDT,2026-05-20,4680574.92949,44258,19.96335,0.06078718079841557,1.62733930024347,1.6466326362582124,1.644601606384495,1293,1.6450836950570957,1.2850870257858258,151398.264195,43309.45949
WLDUSDT,2026-08-12,25981358.33547,149676,10.779905,0.33570613654123127,2.9222676797191407,2.9913251570442414,2.9841838257233357,6310,2.978795711936801,0.0,824241.689045,329497.0947
WLDUSDT,2026-05-20,43710682.06815999,142963,31.02666,0.2468619652945821,3.9308176100624603,4.032258064515685,4.020908725371491,6833,4.0508467912688895,3.5097593468510744,980838.9273900001,230033.00494
1000PEPEUSDT,2026-08-12,35627533.9594,91759,26.837,0.0027739337630017873,3.570153516600139,3.7160906726112937,3.6376864314285156,5183,3.6049887468025124,3.96911149006457,796374.6055000001,319808.6766
1000PEPEUSDT,2026-05-20,38929830.7067,80495,19.963800000000003,0.003700347107631969,2.6910656620013427,2.712967986978114,2.702702702703061,4969,2.702449178178983,3.6516365081179236,1089876.2847,413568.1865
WIFUSDT,2026-08-12,7180876.33028,39744,31.99425,0.1378472702013701,7.241129616219333,7.457121551080461,7.380073800737194,1295,0.7254405535469829,7.633486138217907,173769.40495,64692.0941
WIFUSDT,2026-05-20,9641773.15875,201272,5.19345,0.19365073664930832,0.5066112771661302,0.5181884133061584,0.5182958432678554,5235,0.5163935946234864,2.3849233609470613,317904.26946,150944.95296
RENDERUSDT,2026-08-12,2970721.37215,17755,31.299700000000005,1.259418543504189,7.892659826360616,7.974481658691307,7.949125596183544,519,0.7940172114803897,5.91275347429545,112111.6535,31481.1175
RENDERUSDT,2026-05-20,8207768.521439999,100022,22.854715,1.886594914913273,0.5387931034482165,1.5713387806409331,0.5410084397316002,3995,0.5300554942107749,0.0,274148.92056,105798.86053
AAVEUSDT,2026-08-12,15107708.7253,100610,15.211600000000002,89.11963128548699,1.1153245594473697,1.1257458065974464,1.1227124733345577,3272,1.1220872276678047,2.171662911604258,616424.57415,188895.35
AAVEUSDT,2026-05-20,21093291.6031,132782,7.9803,87.81899404989058,0.0,1.138822457579446,1.1399908800735428,5210,1.1387058241990151,0.0,701725.37595,280939.4416
ONDOUSDT,2026-08-12,21825734.3288,80029,16.830000000000002,0.3337923581449324,2.966478789676327,3.0066145520141005,2.9994001199773397,4029,2.9958744578738696,3.6549392250340254,595833.6411,247950.5464
ONDOUSDT,2026-05-20,105408098.9934,459577,14.497,0.38808255365193556,2.476473501733259,2.5920165889073226,2.5866528711844023,31129,2.5767713353503963,7.222405937793235,3983862.70685,2087379.2407
ENAUSDT,2026-08-12,25555682.09313,166336,11.05832,0.08820479720620635,1.1179429849073363,1.1534025374851353,1.129433024621202,5865,1.133725184653845,1.0494118652752833,743955.403455,299753.97209
ENAUSDT,2026-05-20,26024475.721829996,247298,5.525519999999999,0.10563492784847012,0.0,0.9429514380005773,0.9461633077878703,10669,0.9466565844907661,0.0,798391.05082,382714.71306
JUPUSDT,2026-08-12,3084771.79219,23828,35.4848,0.17199108837321694,5.820721769498777,5.906674542232072,5.875440658048707,917,0.581425473527004,2.5731972941858543,70770.16495,13767.1747
