date,token,slug,gecko_id,category,unlock_type,unlock_amount,rate_duration_days,circ_supply,max_supply,pct_of_circ,ticker,source,usd_value
2021-01-18,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,212967938.4468123,,0.128557,UNI,6mv_observed,2515704.05
2021-01-18,Venus,venus,venus,farming,cliff,16535.420841350544,,16980568.148159333,30000000.0,0.097378,,defillama,
2021-01-18,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,188582443.1445081,,0.329956,CRV,6mv_observed,997111.78
2021-01-18,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44509152.28523088,,0.102544,FIL,6mv_observed,1080996.53
2021-01-18,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44509152.28523088,,0.092289,FIL,6mv_observed,972896.87
2021-01-19,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,217279669.115684,,0.126006,UNI,6mv_observed,2360303.21
2021-01-19,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,194557841.2695005,,0.319822,CRV,6mv_observed,837364.31
2021-01-19,Balancer,balancer,balancer,Uncategorized,cliff,145000.0,,72373802.32600455,96150704.0,0.200349,BAL,defillama,
2021-01-19,Binance Smart Chain,binance-smart-chain,binancecoin,burned,cliff,-3619888.0,,133955044.60361184,200000000.0,-2.702316,BNB,defillama,
2021-01-19,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44807180.56752106,,0.091675,FIL,6mv_observed,931537.42
2021-01-19,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44807180.56752106,,0.213909,FIL,6mv_observed,2173587.32
2021-01-19,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44807180.56752106,,0.101861,FIL,6mv_observed,1035041.58
2021-01-19,Venus,venus,venus,farming,cliff,9245.383592081742,,16980568.148159333,30000000.0,0.054447,,defillama,
2021-01-20,Venus,venus,venus,farming,cliff,9867.768704748984,,16980568.148159333,30000000.0,0.058112,,defillama,
2021-01-20,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,44641568.92593487,,0.092015,FIL,6mv_observed,919680.57
2021-01-20,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,44641568.92593487,,0.214703,FIL,6mv_observed,2145921.33
2021-01-20,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,44641568.92593487,,0.102239,FIL,6mv_observed,1021867.3
2021-01-20,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,214339350.5802399,,0.127734,UNI,6mv_observed,2472847.22
2021-01-20,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,193081998.7130907,,0.322267,CRV,6mv_observed,1022830.19
2021-01-21,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,45151962.84211933,,0.090975,FIL,6mv_observed,873226.63
2021-01-21,Venus,venus,venus,farming,cliff,13731.610519883032,,16980568.148159333,30000000.0,0.080867,,defillama,
2021-01-21,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,197678586.5920039,,0.314773,CRV,6mv_observed,1038392.35
2021-01-21,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,215622360.884453,,0.126974,UNI,6mv_observed,2090974.3
2021-01-21,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,45151962.84211933,,0.212276,FIL,6mv_observed,2037528.8
2021-01-21,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,45151962.84211933,,0.101084,FIL,6mv_observed,970251.81
2021-01-22,Venus,venus,venus,farming,cliff,13507.484739991634,,16980568.148159333,30000000.0,0.079547,,defillama,
2021-01-22,Chainlink,chainlink,chainlink,insiders,cliff,1000000.0,,748009578.99,1000000000.0,0.133688,LINK,defillama,
2021-01-22,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,195980526.9803179,,0.3175,CRV,6mv_observed,1238903.38
2021-01-22,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,45458952.92035107,,0.100401,FIL,6mv_observed,1017247.41
2021-01-22,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,45458952.92035107,,0.090361,FIL,6mv_observed,915522.66
2021-01-22,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,45458952.92035107,,0.210842,FIL,6mv_observed,2136219.55
2021-01-22,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,215693685.9078361,,0.126932,UNI,6mv_observed,2385011.88
2021-01-23,Venus,venus,venus,farming,cliff,10303.428283506517,,16980568.148159333,30000000.0,0.060678,,defillama,
2021-01-23,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,197363336.801566,,0.315276,CRV,6mv_observed,1331020.33
2021-01-23,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,45397110.51606584,,0.100538,FIL,6mv_observed,1035583.27
2021-01-23,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,45397110.51606584,,0.211129,FIL,6mv_observed,2174724.87
2021-01-23,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,215083516.7474605,,0.127292,UNI,6mv_observed,2545715.43
2021-01-23,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,45397110.51606584,,0.090484,FIL,6mv_observed,932024.94
2021-01-23,Avalanche,avalanche,avalanche-2,insiders,cliff,12600000.0,,441788444.4719837,720000000.0,2.852044,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,publicSale,cliff,10000000.0,,441788444.4719837,720000000.0,2.263527,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,publicSale,cliff,1800000.0,,441788444.4719837,720000000.0,0.407435,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,privateSale,cliff,6225000.0,,441788444.4719837,720000000.0,1.409045,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,insiders,cliff,4500000.0,,441788444.4719837,720000000.0,1.018587,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,privateSale,cliff,4500000.0,,441788444.4719837,720000000.0,1.018587,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,insiders,cliff,2250000.0,,441788444.4719837,720000000.0,0.509294,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,airdrop,cliff,1125000.0,,441788444.4719837,720000000.0,0.254647,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,insiders,cliff,1667000.0,,441788444.4719837,720000000.0,0.37733,AVAX,defillama,
2021-01-23,Avalanche,avalanche,avalanche-2,farming,cliff,486000.0,,441788444.4719837,720000000.0,0.110007,AVAX,defillama,
2021-01-24,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,45790188.47833146,,0.099675,FIL,6mv_observed,1038066.43
2021-01-24,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,45790188.47833146,,0.209317,FIL,6mv_observed,2179939.49
2021-01-24,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,200181089.1957904,,0.310838,CRV,6mv_observed,1411244.9
2021-01-24,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,45790188.47833146,,0.089707,FIL,6mv_observed,934259.78
2021-01-24,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,287932135.4543528,,0.095087,UNI,6mv_observed,3287830.53
2021-01-24,Rarible,rarible,rarible,farming,cliff,75000.0,,25080293.766572803,25080293.766572803,0.29904,,defillama,
2021-01-24,Venus,venus,venus,farming,cliff,7823.86307269483,,16980568.148159333,30000000.0,0.046075,,defillama,
2021-01-25,FILECOIN,filecoin,,team,cliff,41077.13372889092,1.0,45911981.56275345,,0.089469,FIL,6mv_observed,921668.19
2021-01-25,FILECOIN,filecoin,,ecosystem,cliff,95846.64536741214,1.0,45911981.56275345,,0.208762,FIL,6mv_observed,2150559.11
2021-01-25,FILECOIN,filecoin,,ecosystem,cliff,45641.25969876769,1.0,45911981.56275345,,0.09941,FIL,6mv_observed,1024075.77
2021-01-25,Venus,venus,venus,farming,cliff,14581.745688030102,,16980568.148159333,30000000.0,0.085873,,defillama,
2021-01-25,UNISWAP,uniswap,,insiders,cliff,273785.0787132101,1.0,285848322.8868281,,0.09578,UNI,6mv_observed,3120297.83
2021-01-25,CURVE-DAO-TOKEN,curve-dao-token,,insiders,cliff,622238.8151950719,1.0,199868458.4097413,,0.311324,CRV,6mv_observed,1249301.52
2021-01-26,Venus,venus,venus,farming,cliff,13024.4345212473,,16980568.148159333,30000000.0,0.076702,,defillama,
